Ambient Temperature (C),Beam Irradiance (W/m^2),Cell Temperature (C),Diffuse Irradiance (W/m^2),Plane of Array Irradiance (W/m^2),Size,Wind Speed (m/s)
10.0,0.0,10.0,0.0,0.0,3.0,1.0
5.0,0.0,2.636,8.0,7.567,4.0,2.0
6.0,0.0,4.726,52.0,49.351,3.0,1.0
14.0,92.0,17.736,130.0,163.485,4.0,1.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
6.0,0.0,6.0,0.0,0.0,2.0,2.0
-1.0,0.0,-1.0,0.0,0.0,2.0,2.0
4.0,0.0,2.718,42.0,39.848,3.0,2.0
1.0,0.0,-0.535,21.0,19.891,2.0,3.0
5.0,0.0,1.915,5.0,4.727,3.0,1.0
8.0,0.0,8.0,0.0,0.0,1.0,2.0
15.0,0.0,11.398,20.0,18.826,4.0,0.0
10.0,75.0,8.264,25.0,20.854,4.0,0.0
5.0,0.0,5.0,0.0,0.0,5.0,1.0
12.0,0.0,9.428,11.0,10.42,5.0,1.0
13.0,0.0,13.0,0.0,0.0,4.0,1.0
4.0,0.0,4.0,0.0,0.0,5.0,2.0
24.0,348.0,50.235,263.0,520.266,2.0,0.0
16.0,0.0,22.615,140.0,134.433,3.0,0.0
17.0,593.0,24.712,77.0,216.465,1.0,0.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
5.0,0.0,2.904,14.0,13.26,5.0,1.0
19.0,424.0,31.062,97.0,218.885,4.0,0.0
19.0,0.0,19.0,0.0,0.0,1.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,2.0
4.0,0.0,4.0,0.0,0.0,4.0,0.0
6.0,0.0,5.196,9.0,8.53,5.0,1.0
9.0,0.0,9.0,0.0,0.0,4.0,1.0
11.0,0.0,11.0,0.0,0.0,1.0,3.0
5.0,0.0,6.174,14.0,13.268,4.0,0.0
26.0,852.0,66.13,107.0,916.458,3.0,0.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
15.0,0.0,15.0,0.0,0.0,2.0,1.0
17.0,0.0,15.429,14.0,13.262,4.0,1.0
3.0,0.0,0.537,6.0,5.674,2.0,2.0
6.0,0.0,6.0,0.0,0.0,4.0,2.0
13.0,0.0,13.0,0.0,0.0,3.0,1.0
16.0,791.0,46.592,74.0,678.532,3.0,0.0
0.0,25.0,5.28,127.0,153.385,4.0,0.0
3.0,0.0,3.0,0.0,0.0,1.0,2.0
5.0,0.0,5.0,0.0,0.0,5.0,2.0
17.0,72.0,15.114,10.0,7.664,4.0,1.0
9.0,727.0,39.959,127.0,620.625,5.0,0.0
2.0,0.0,2.0,0.0,0.0,1.0,2.0
13.0,685.0,31.228,69.0,422.472,1.0,0.0
6.0,0.0,6.0,0.0,0.0,4.0,1.0
5.0,0.0,5.0,0.0,0.0,4.0,1.0
3.0,0.0,3.0,0.0,0.0,1.0,2.0
19.0,233.0,34.692,218.0,361.877,3.0,0.0
18.0,889.0,60.943,108.0,969.641,4.0,0.0
1.0,0.0,-0.381,36.0,34.133,4.0,2.0
7.0,0.0,3.596,23.0,21.796,2.0,0.0
10.0,0.0,7.267,6.0,5.674,3.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0
8.0,0.0,8.0,0.0,0.0,3.0,1.0
4.0,0.0,5.405,92.0,89.438,5.0,0.0
6.0,0.0,3.896,14.0,13.253,4.0,2.0
13.0,0.0,13.0,0.0,0.0,4.0,0.0
3.0,0.0,3.0,0.0,0.0,3.0,1.0
9.0,305.0,12.251,66.0,81.819,2.0,0.0
4.0,0.0,4.0,0.0,0.0,3.0,2.0
4.0,0.0,4.0,0.0,0.0,5.0,1.0
0.0,0.0,-0.171,68.0,64.588,3.0,3.0
6.0,0.0,6.0,0.0,0.0,5.0,2.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
8.0,0.0,8.0,0.0,0.0,3.0,1.0
10.0,189.0,15.266,79.0,123.3,4.0,0.0
1.0,0.0,1.0,0.0,0.0,2.0,2.0
11.0,0.0,11.0,0.0,0.0,5.0,1.0
8.0,0.0,8.0,0.0,0.0,4.0,2.0
-3.0,0.0,-3.0,0.0,0.0,5.0,2.0
4.0,130.0,13.52,141.0,245.157,2.0,0.0
10.0,113.0,20.137,161.0,237.345,1.0,0.0
-7.0,0.0,-7.0,0.0,0.0,5.0,3.0
4.0,3.0,2.079,27.0,27.904,1.0,0.0
4.0,0.0,4.0,0.0,0.0,5.0,4.0
4.0,0.0,4.0,0.0,0.0,3.0,2.0
8.0,895.0,43.703,108.0,941.33,3.0,1.0
3.0,0.0,3.0,0.0,0.0,1.0,1.0
0.0,0.0,-1.055,53.0,50.302,3.0,1.0
13.0,0.0,13.0,0.0,0.0,3.0,1.0
5.0,0.0,5.0,0.0,0.0,4.0,2.0
13.0,0.0,13.0,0.0,0.0,4.0,1.0
18.0,0.0,18.0,0.0,0.0,3.0,0.0
17.0,0.0,22.747,127.0,121.691,2.0,0.0
5.0,0.0,5.0,0.0,0.0,2.0,3.0
4.0,0.0,4.0,0.0,0.0,3.0,1.0
13.0,0.0,15.823,80.0,76.228,4.0,0.0
12.0,0.0,12.0,0.0,0.0,5.0,1.0
5.0,0.0,5.0,0.0,0.0,2.0,2.0
1.0,0.0,1.0,0.0,0.0,2.0,0.0
14.0,455.0,43.477,209.0,615.781,5.0,0.0
12.0,0.0,12.0,0.0,0.0,4.0,2.0
22.0,831.0,54.888,94.0,699.452,5.0,0.0
10.0,0.0,10.0,0.0,0.0,2.0,2.0
7.0,30.0,18.144,237.0,267.882,2.0,0.0
6.0,0.0,6.0,0.0,0.0,2.0,2.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
8.0,557.0,21.346,76.0,325.675,5.0,0.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
-2.0,0.0,-2.0,0.0,0.0,5.0,5.0
2.0,0.0,2.0,0.0,0.0,2.0,2.0
10.0,0.0,10.0,0.0,0.0,2.0,0.0
23.0,0.0,26.235,129.0,123.337,5.0,0.0
17.0,0.0,17.0,0.0,0.0,2.0,0.0
10.0,0.0,8.087,27.0,25.632,1.0,1.0
6.0,0.0,6.0,0.0,0.0,3.0,3.0
4.0,0.0,4.0,0.0,0.0,4.0,2.0
4.0,0.0,1.909,25.0,23.684,4.0,1.0
15.0,105.0,21.902,108.0,165.467,1.0,0.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
6.0,0.0,2.946,5.0,4.727,1.0,1.0
9.0,0.0,9.0,0.0,0.0,5.0,1.0
6.0,0.0,6.0,0.0,0.0,5.0,2.0
5.0,530.0,11.009,76.0,191.116,3.0,0.0
3.0,0.0,3.0,0.0,0.0,5.0,1.0
23.0,309.0,42.647,242.0,435.85,3.0,0.0
23.0,698.0,43.889,73.0,406.578,4.0,0.0
10.0,672.0,23.256,106.0,420.734,3.0,1.0
5.0,0.0,5.0,0.0,0.0,5.0,3.0
20.0,0.0,20.0,0.0,0.0,2.0,0.0
3.0,0.0,3.0,0.0,0.0,5.0,2.0
15.0,0.0,16.768,106.0,100.993,1.0,1.0
18.0,24.0,28.649,242.0,253.574,1.0,0.0
8.0,895.0,43.703,108.0,941.33,5.0,1.0
4.0,0.0,4.0,0.0,0.0,5.0,2.0
2.0,0.0,2.0,0.0,0.0,3.0,3.0
10.0,0.0,10.0,0.0,0.0,5.0,0.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
6.0,0.0,6.0,0.0,0.0,2.0,0.0
11.0,0.0,11.0,0.0,0.0,1.0,1.0
14.0,590.0,22.434,82.0,229.912,2.0,0.0
6.0,0.0,6.0,0.0,0.0,4.0,1.0
6.0,0.0,4.59,11.0,10.41,5.0,1.0
12.0,622.0,29.553,126.0,416.557,2.0,0.0
6.0,760.0,27.927,82.0,494.642,2.0,0.0
4.0,0.0,2.619,39.0,36.984,1.0,2.0
5.0,0.0,5.0,0.0,0.0,5.0,1.0
4.0,0.0,1.076,10.0,9.462,1.0,1.0
6.0,0.0,6.0,0.0,0.0,2.0,1.0
19.0,614.0,32.855,87.0,333.65,2.0,0.0
7.0,230.0,27.946,243.0,417.097,2.0,0.0
10.0,672.0,23.256,106.0,420.734,2.0,1.0
14.0,15.0,28.214,252.0,254.999,5.0,0.0
11.0,0.0,11.0,0.0,0.0,4.0,1.0
8.0,287.0,27.256,270.0,546.969,3.0,1.0
9.0,0.0,9.0,0.0,0.0,3.0,1.0
2.0,0.0,2.0,0.0,0.0,3.0,1.0
4.0,0.0,4.0,0.0,0.0,4.0,2.0
11.0,0.0,16.029,135.0,129.107,4.0,0.0
8.0,343.0,26.823,201.0,498.797,4.0,1.0
3.0,0.0,3.0,0.0,0.0,4.0,1.0
17.0,859.0,51.623,79.0,737.049,3.0,0.0
17.0,173.0,44.43,435.0,621.957,2.0,0.0
8.0,0.0,8.0,0.0,0.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,3.0
6.0,0.0,6.0,0.0,0.0,3.0,1.0
2.0,0.0,2.0,0.0,0.0,2.0,2.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
2.0,0.0,2.0,0.0,0.0,1.0,2.0
11.0,0.0,11.0,0.0,0.0,2.0,1.0
7.0,0.0,4.932,26.0,24.422,4.0,0.0
16.0,774.0,45.634,82.0,610.784,5.0,0.0
14.0,207.0,28.399,137.0,231.004,5.0,0.0
-9.0,0.0,-9.0,0.0,0.0,4.0,3.0
5.0,0.0,5.0,0.0,0.0,2.0,1.0
1.0,0.0,1.0,0.0,0.0,5.0,2.0
16.0,733.0,41.92,110.0,514.115,3.0,0.0
13.0,883.0,51.654,95.0,842.489,4.0,0.0
-9.0,0.0,-9.0,0.0,0.0,3.0,4.0
8.0,0.0,8.0,0.0,0.0,3.0,4.0
22.0,781.0,48.34,119.0,688.181,2.0,1.0
8.0,0.0,8.0,0.0,0.0,1.0,2.0
3.0,0.0,3.0,0.0,0.0,3.0,2.0
9.0,0.0,9.0,0.0,0.0,1.0,0.0
13.0,162.0,36.466,437.0,615.871,1.0,1.0
11.0,0.0,12.939,113.0,107.406,2.0,1.0
8.0,0.0,8.0,0.0,0.0,4.0,3.0
11.0,643.0,49.298,232.0,846.961,2.0,0.0
0.0,725.0,16.243,45.0,452.433,1.0,1.0
8.0,0.0,8.331,68.0,64.67,1.0,2.0
3.0,0.0,3.0,0.0,0.0,3.0,2.0
4.0,0.0,4.0,0.0,0.0,3.0,1.0
7.0,0.0,7.0,0.0,0.0,5.0,3.0
16.0,0.0,29.168,145.0,139.037,4.0,0.0
11.0,0.0,11.0,0.0,0.0,5.0,0.0
10.0,0.0,10.0,0.0,0.0,5.0,1.0
13.0,0.0,10.518,11.0,10.416,4.0,1.0
7.0,0.0,7.0,0.0,0.0,5.0,2.0
11.0,0.0,11.0,0.0,0.0,1.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,0.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
17.0,875.0,56.52,91.0,874.936,1.0,0.0
12.0,0.0,12.0,0.0,0.0,5.0,0.0
14.0,0.0,14.0,0.0,0.0,1.0,1.0
17.0,189.0,19.603,46.0,52.844,2.0,0.0
12.0,0.0,12.0,0.0,0.0,1.0,0.0
20.0,139.0,19.367,33.0,25.499,5.0,0.0
3.0,0.0,0.375,18.0,17.042,1.0,1.0
11.0,2.0,18.233,156.0,151.602,4.0,0.0
0.0,586.0,13.183,45.0,318.861,5.0,0.0
3.0,0.0,1.786,44.0,41.738,2.0,2.0
6.0,0.0,6.0,0.0,0.0,2.0,0.0
16.0,0.0,16.0,0.0,0.0,4.0,0.0
14.0,333.0,42.073,409.0,760.782,5.0,1.0
-3.0,0.0,-3.0,0.0,0.0,1.0,4.0
15.0,264.0,11.926,39.0,29.994,5.0,0.0
10.0,0.0,8.434,28.0,26.532,4.0,2.0
13.0,862.0,56.428,142.0,968.019,2.0,0.0
14.0,0.0,14.0,0.0,0.0,3.0,1.0
18.0,794.0,59.313,149.0,935.956,4.0,0.0
23.0,797.0,55.02,96.0,680.683,5.0,0.0
3.0,0.0,3.0,0.0,0.0,2.0,2.0
12.0,126.0,35.037,430.0,573.353,1.0,1.0
5.0,0.0,5.0,0.0,0.0,3.0,2.0
1.0,0.0,0.552,14.0,13.251,3.0,1.0
5.0,0.0,3.153,11.0,10.415,4.0,3.0
18.0,259.0,14.733,29.0,22.858,4.0,0.0
6.0,241.0,21.332,257.0,464.949,1.0,1.0
11.0,204.0,9.507,62.0,61.462,4.0,0.0
14.0,212.0,13.037,34.0,26.433,4.0,1.0
2.0,0.0,2.0,0.0,0.0,2.0,3.0
-2.0,0.0,-2.0,0.0,0.0,3.0,2.0
6.0,0.0,6.0,0.0,0.0,4.0,2.0
9.0,0.0,9.0,0.0,0.0,4.0,1.0
14.0,21.0,19.231,176.0,182.582,5.0,1.0
2.0,0.0,2.0,0.0,0.0,2.0,2.0
9.0,0.0,9.0,0.0,0.0,2.0,1.0
2.0,156.0,9.076,72.0,166.705,1.0,1.0
19.0,0.0,19.0,0.0,0.0,4.0,0.0
17.0,0.0,17.0,0.0,0.0,5.0,0.0
7.0,125.0,11.603,158.0,206.933,2.0,2.0
2.0,0.0,2.0,0.0,0.0,4.0,2.0
16.0,0.0,16.0,0.0,0.0,4.0,1.0
10.0,386.0,37.092,348.0,722.65,3.0,1.0
12.0,0.0,12.0,0.0,0.0,5.0,1.0
19.0,0.0,19.0,0.0,0.0,4.0,0.0
18.0,24.0,28.649,242.0,253.574,2.0,0.0
9.0,0.0,9.0,0.0,0.0,2.0,2.0
7.0,0.0,7.0,0.0,0.0,2.0,0.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
15.0,430.0,51.814,350.0,809.484,1.0,0.0
17.0,0.0,17.0,0.0,0.0,4.0,1.0
7.0,719.0,30.636,64.0,451.424,2.0,0.0
4.0,0.0,4.0,0.0,0.0,1.0,2.0
-5.0,0.0,-5.0,0.0,0.0,5.0,2.0
2.0,0.0,2.0,0.0,0.0,4.0,2.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
6.0,0.0,6.0,0.0,0.0,2.0,2.0
5.0,3.0,9.571,131.0,134.162,2.0,0.0
8.0,0.0,8.0,0.0,0.0,3.0,1.0
6.0,0.0,6.0,0.0,0.0,2.0,1.0
16.0,13.0,31.357,246.0,248.957,5.0,0.0
10.0,0.0,10.0,0.0,0.0,4.0,2.0
6.0,0.0,6.0,0.0,0.0,3.0,5.0
10.0,0.0,10.0,0.0,0.0,2.0,1.0
9.0,0.0,9.0,0.0,0.0,2.0,1.0
15.0,0.0,15.0,0.0,0.0,1.0,0.0
18.0,233.0,44.167,371.0,581.337,1.0,0.0
1.0,407.0,7.408,26.0,171.551,4.0,1.0
2.0,0.0,2.0,0.0,0.0,3.0,2.0
7.0,0.0,7.0,0.0,0.0,3.0,2.0
4.0,0.0,4.0,0.0,0.0,4.0,2.0
6.0,564.0,27.057,98.0,479.572,4.0,0.0
16.0,127.0,13.966,56.0,49.228,4.0,0.0
-10.0,0.0,-10.0,0.0,0.0,2.0,3.0
2.0,0.0,2.0,0.0,0.0,2.0,2.0
7.0,0.0,7.0,0.0,0.0,4.0,0.0
21.0,889.0,64.02,115.0,1000.198,4.0,0.0
16.0,860.0,53.055,87.0,806.811,4.0,0.0
12.0,0.0,10.513,42.0,39.837,4.0,1.0
17.0,864.0,58.391,126.0,973.268,3.0,0.0
20.0,784.0,60.54,164.0,930.56,5.0,0.0
6.0,65.0,21.807,358.0,424.785,2.0,2.0
18.0,763.0,59.225,176.0,922.383,1.0,0.0
-3.0,0.0,-3.0,0.0,0.0,3.0,3.0
6.0,0.0,1.616,15.0,14.198,3.0,0.0
8.0,0.0,8.018,24.0,22.745,1.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,2.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
9.0,0.0,9.0,0.0,0.0,4.0,1.0
16.0,0.0,16.0,0.0,0.0,2.0,0.0
5.0,0.0,5.0,0.0,0.0,2.0,2.0
5.0,0.0,1.915,5.0,4.727,4.0,1.0
16.0,5.0,23.28,190.0,186.823,1.0,0.0
21.0,107.0,45.38,361.0,473.1,3.0,0.0
7.0,260.0,23.228,289.0,505.302,5.0,2.0
4.0,0.0,4.0,0.0,0.0,3.0,2.0
14.0,0.0,14.0,0.0,0.0,3.0,0.0
4.0,0.0,1.834,1.0,0.944,4.0,3.0
18.0,753.0,52.878,190.0,951.135,2.0,1.0
14.0,0.0,14.0,0.0,0.0,2.0,0.0
3.0,0.0,0.54,6.0,5.674,2.0,2.0
16.0,397.0,14.14,50.0,51.865,5.0,0.0
11.0,0.0,11.0,0.0,0.0,4.0,0.0
3.0,0.0,3.0,0.0,0.0,5.0,1.0
6.0,0.0,6.0,0.0,0.0,3.0,4.0
15.0,843.0,46.458,64.0,699.903,4.0,0.0
21.0,340.0,39.122,181.0,348.738,1.0,0.0
5.0,0.0,5.0,0.0,0.0,2.0,1.0
16.0,681.0,38.024,71.0,426.349,5.0,0.0
7.0,149.0,27.495,384.0,550.902,5.0,1.0
-10.0,0.0,-10.0,0.0,0.0,5.0,4.0
6.0,786.0,28.005,116.0,634.478,2.0,1.0
2.0,0.0,2.0,0.0,0.0,1.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,4.0
7.0,874.0,36.184,77.0,765.386,2.0,1.0
6.0,0.0,6.0,0.0,0.0,5.0,1.0
20.0,835.0,53.06,100.0,757.1,1.0,0.0
17.0,839.0,52.356,93.0,833.321,1.0,0.0
13.0,14.0,19.058,201.0,206.278,3.0,1.0
-4.0,0.0,-4.0,0.0,0.0,4.0,2.0
4.0,0.0,4.0,0.0,0.0,5.0,2.0
2.0,0.0,2.0,0.0,0.0,3.0,2.0
13.0,0.0,13.0,0.0,0.0,4.0,0.0
9.0,453.0,32.635,210.0,509.36,1.0,0.0
11.0,0.0,11.0,0.0,0.0,4.0,0.0
5.0,0.0,2.249,4.0,3.784,2.0,1.0
11.0,0.0,9.766,66.0,62.767,1.0,0.0
9.0,467.0,15.961,58.0,210.237,5.0,0.0
15.0,0.0,15.0,0.0,0.0,3.0,0.0
20.0,241.0,19.876,27.0,29.154,4.0,1.0
9.0,0.0,9.0,0.0,0.0,4.0,1.0
17.0,0.0,17.0,0.0,0.0,2.0,0.0
7.0,0.0,7.0,0.0,0.0,1.0,3.0
5.0,0.0,5.0,0.0,0.0,4.0,2.0
7.0,0.0,7.0,0.0,0.0,5.0,0.0
13.0,0.0,14.36,75.0,71.342,2.0,1.0
7.0,59.0,11.387,110.0,120.849,4.0,1.0
15.0,48.0,25.973,305.0,340.285,5.0,1.0
7.0,930.0,36.304,88.0,914.402,4.0,2.0
-1.0,0.0,-1.0,0.0,0.0,2.0,2.0
4.0,0.0,4.0,0.0,0.0,5.0,2.0
17.0,9.0,28.326,213.0,214.691,1.0,0.0
10.0,297.0,8.175,22.0,57.173,3.0,0.0
11.0,74.0,8.372,15.0,11.597,2.0,1.0
18.0,20.0,31.81,229.0,244.231,1.0,0.0
10.0,176.0,20.007,133.0,179.261,4.0,0.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,2.0
4.0,586.0,17.58,47.0,348.66,2.0,1.0
18.0,0.0,18.0,0.0,0.0,5.0,0.0
10.0,0.0,10.0,0.0,0.0,3.0,0.0
3.0,0.0,3.0,0.0,0.0,4.0,2.0
14.0,8.0,19.928,206.0,206.563,4.0,1.0
6.0,0.0,6.0,0.0,0.0,5.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0
11.0,553.0,28.376,121.0,505.234,1.0,1.0
19.0,869.0,53.581,78.0,740.298,5.0,0.0
6.0,0.0,7.423,107.0,102.355,4.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,1.0
11.0,147.0,23.005,177.0,279.929,4.0,0.0
8.0,0.0,10.003,118.0,113.636,2.0,1.0
16.0,0.0,16.0,0.0,0.0,2.0,0.0
10.0,789.0,42.163,113.0,652.263,1.0,0.0
3.0,0.0,3.0,0.0,0.0,5.0,2.0
11.0,572.0,27.565,133.0,395.321,3.0,0.0
4.0,0.0,4.0,0.0,0.0,2.0,1.0
10.0,0.0,10.0,0.0,0.0,5.0,0.0
5.0,0.0,5.0,0.0,0.0,1.0,3.0
13.0,35.0,20.083,238.0,254.171,5.0,1.0
5.0,0.0,5.0,0.0,0.0,3.0,2.0
22.0,773.0,61.347,152.0,904.882,2.0,0.0
11.0,758.0,41.843,134.0,717.516,1.0,0.0
6.0,0.0,6.0,0.0,0.0,2.0,1.0
7.0,0.0,7.0,0.0,0.0,4.0,1.0
8.0,46.0,21.689,374.0,424.088,1.0,2.0
0.0,0.0,0.0,0.0,0.0,3.0,2.0
8.0,807.0,32.044,105.0,656.862,3.0,1.0
12.0,0.0,12.0,0.0,0.0,1.0,1.0
7.0,0.0,7.0,0.0,0.0,2.0,2.0
9.0,596.0,25.867,50.0,308.185,5.0,0.0
5.0,264.0,6.457,41.0,119.487,3.0,1.0
5.0,0.0,5.0,0.0,0.0,5.0,1.0
13.0,96.0,27.808,220.0,299.036,3.0,0.0
5.0,0.0,3.882,46.0,43.66,4.0,2.0
13.0,500.0,17.927,86.0,198.562,4.0,1.0
5.0,0.0,5.0,0.0,0.0,4.0,3.0
6.0,0.0,7.07,101.0,96.409,3.0,3.0
12.0,0.0,9.573,15.0,14.219,2.0,0.0
2.0,0.0,2.0,0.0,0.0,1.0,2.0
14.0,18.0,22.745,240.0,243.737,3.0,1.0
6.0,96.0,10.218,94.0,162.835,5.0,1.0
6.0,717.0,21.208,63.0,372.365,5.0,1.0
9.0,153.0,21.347,206.0,270.785,3.0,0.0
5.0,0.0,5.0,0.0,0.0,4.0,1.0
-3.0,0.0,-5.502,43.0,40.786,2.0,0.0
9.0,0.0,9.0,0.0,0.0,3.0,1.0
14.0,0.0,14.0,0.0,0.0,2.0,0.0
3.0,0.0,3.0,0.0,0.0,1.0,2.0
11.0,0.0,11.0,0.0,0.0,1.0,1.0
6.0,0.0,6.0,0.0,0.0,1.0,4.0
11.0,0.0,8.369,12.0,11.367,4.0,1.0
4.0,0.0,4.0,0.0,0.0,2.0,3.0
4.0,0.0,4.0,0.0,0.0,1.0,2.0
8.0,0.0,8.0,0.0,0.0,2.0,1.0
13.0,0.0,13.0,0.0,0.0,3.0,1.0
19.0,785.0,51.138,118.0,733.286,1.0,0.0
11.0,0.0,11.0,0.0,0.0,4.0,1.0
9.0,0.0,9.0,0.0,0.0,3.0,1.0
3.0,81.0,4.332,63.0,107.24,5.0,1.0
18.0,0.0,18.0,0.0,0.0,1.0,0.0
16.0,908.0,46.855,77.0,843.801,1.0,1.0
8.0,0.0,6.89,39.0,37.025,1.0,1.0
15.0,876.0,51.198,90.0,853.81,5.0,0.0
6.0,800.0,32.615,77.0,663.416,5.0,0.0
1.0,0.0,1.0,0.0,0.0,2.0,2.0
7.0,0.0,7.0,0.0,0.0,1.0,1.0
27.0,613.0,65.499,250.0,883.19,3.0,0.0
14.0,301.0,41.701,313.0,610.189,2.0,0.0
7.0,468.0,14.883,45.0,233.696,5.0,0.0
23.0,434.0,41.586,132.0,341.291,3.0,0.0
5.0,0.0,5.0,0.0,0.0,1.0,0.0
16.0,0.0,16.0,0.0,0.0,5.0,0.0
5.0,0.0,5.0,0.0,0.0,4.0,3.0
6.0,0.0,6.0,0.0,0.0,5.0,2.0
6.0,0.0,5.118,47.0,44.596,2.0,2.0
16.0,0.0,16.0,0.0,0.0,2.0,0.0
4.0,453.0,14.554,50.0,270.169,2.0,0.0
11.0,0.0,19.29,138.0,132.516,5.0,0.0
4.0,0.0,4.0,0.0,0.0,1.0,2.0
20.0,244.0,20.105,35.0,27.077,2.0,0.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
18.0,753.0,52.878,190.0,951.135,5.0,1.0
22.0,402.0,54.323,324.0,692.61,1.0,0.0
0.0,0.0,-3.315,2.0,1.889,4.0,1.0
15.0,0.0,10.874,10.0,9.461,2.0,0.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
12.0,772.0,28.547,63.0,479.742,3.0,1.0
7.0,0.0,9.612,122.0,116.781,3.0,1.0
6.0,0.0,6.106,21.0,19.915,2.0,1.0
10.0,186.0,11.169,29.0,29.117,2.0,0.0
9.0,0.0,9.0,0.0,0.0,2.0,2.0
11.0,0.0,11.0,0.0,0.0,5.0,1.0
26.0,854.0,67.012,116.0,959.959,4.0,0.0
7.0,824.0,40.292,84.0,723.64,1.0,0.0
16.0,0.0,16.0,0.0,0.0,3.0,1.0
16.0,0.0,16.0,0.0,0.0,1.0,1.0
12.0,704.0,29.963,96.0,416.281,1.0,0.0
7.0,385.0,8.627,50.0,69.428,3.0,1.0
8.0,503.0,14.122,73.0,188.494,2.0,0.0
6.0,0.0,6.0,0.0,0.0,3.0,1.0
10.0,813.0,46.296,163.0,951.56,1.0,1.0
8.0,263.0,33.753,313.0,566.0,2.0,0.0
22.0,19.0,37.785,273.0,284.615,2.0,0.0
7.0,0.0,7.0,0.0,0.0,5.0,4.0
10.0,0.0,10.0,0.0,0.0,5.0,2.0
5.0,0.0,5.694,88.0,83.916,5.0,2.0
18.0,0.0,18.0,0.0,0.0,4.0,0.0
7.0,0.0,7.0,0.0,0.0,5.0,2.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
16.0,249.0,34.823,239.0,437.776,2.0,0.0
7.0,0.0,7.0,0.0,0.0,1.0,1.0
-2.0,0.0,-2.0,0.0,0.0,4.0,1.0
7.0,0.0,7.0,0.0,0.0,2.0,2.0
0.0,0.0,-0.97,47.0,44.934,2.0,3.0
11.0,874.0,46.855,106.0,807.751,4.0,0.0
6.0,0.0,7.07,101.0,96.409,2.0,3.0
17.0,0.0,12.741,2.0,1.89,5.0,0.0
24.0,583.0,38.922,88.0,275.957,4.0,0.0
-4.0,0.0,-4.0,0.0,0.0,1.0,1.0
9.0,0.0,9.0,0.0,0.0,5.0,2.0
11.0,0.0,11.0,0.0,0.0,2.0,0.0
7.0,11.0,14.959,240.0,244.529,1.0,1.0
5.0,0.0,5.0,0.0,0.0,2.0,2.0
-1.0,0.0,-1.0,0.0,0.0,3.0,3.0
2.0,0.0,-0.635,1.0,0.944,3.0,2.0
7.0,0.0,7.0,0.0,0.0,2.0,1.0
11.0,0.0,11.0,0.0,0.0,1.0,0.0
9.0,0.0,6.652,4.0,3.78,5.0,2.0
12.0,355.0,33.697,204.0,492.296,1.0,0.0
0.0,631.0,9.562,44.0,350.401,2.0,2.0
5.0,0.0,5.0,0.0,0.0,5.0,1.0
17.0,0.0,17.0,0.0,0.0,2.0,1.0
3.0,544.0,11.022,39.0,285.239,4.0,1.0
9.0,0.0,9.0,0.0,0.0,3.0,1.0
15.0,0.0,16.844,62.0,59.078,3.0,1.0
16.0,0.0,23.357,94.0,89.41,5.0,0.0
2.0,0.0,2.0,0.0,0.0,5.0,2.0
5.0,0.0,5.0,0.0,0.0,3.0,2.0
14.0,0.0,14.0,0.0,0.0,4.0,1.0
3.0,0.0,1.312,18.0,17.048,5.0,2.0
-6.0,0.0,-6.0,0.0,0.0,5.0,3.0
6.0,0.0,6.0,0.0,0.0,1.0,0.0
10.0,0.0,5.245,3.0,2.835,2.0,0.0
6.0,483.0,15.445,46.0,154.84,1.0,0.0
17.0,579.0,29.182,106.0,311.033,5.0,1.0
3.0,0.0,3.0,0.0,0.0,2.0,1.0
12.0,0.0,17.506,107.0,103.493,4.0,0.0
15.0,873.0,50.629,98.0,809.439,5.0,0.0
21.0,88.0,32.337,186.0,226.16,4.0,0.0
17.0,180.0,35.409,241.0,336.643,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,3.0
8.0,184.0,16.148,107.0,238.397,4.0,0.0
13.0,0.0,13.0,0.0,0.0,4.0,1.0
