Ambient Temperature (C),Beam Irradiance (W/m^2),Cell Temperature (C),Diffuse Irradiance (W/m^2),Plane of Array Irradiance (W/m^2),Size,Wind Speed (m/s)
4.0,0.0,4.0,0.0,0.0,2.0,1.0
5.0,0.0,6.164,89.0,86.971,4.0,0.0
3.0,0.0,3.0,0.0,0.0,5.0,2.0
3.0,226.0,5.663,78.0,146.851,5.0,1.0
4.0,747.0,16.083,62.0,468.985,1.0,3.0
14.0,199.0,21.238,47.0,110.776,1.0,0.0
10.0,30.0,27.241,325.0,353.385,2.0,0.0
4.0,121.0,17.195,152.0,254.051,1.0,0.0
7.0,0.0,7.0,0.0,0.0,5.0,1.0
9.0,0.0,9.0,0.0,0.0,5.0,2.0
12.0,0.0,12.0,0.0,0.0,5.0,0.0
12.0,0.0,12.0,0.0,0.0,3.0,1.0
3.0,0.0,3.0,0.0,0.0,1.0,4.0
-2.0,0.0,-2.0,0.0,0.0,1.0,2.0
2.0,0.0,0.522,25.0,23.684,1.0,3.0
-3.0,0.0,-3.0,0.0,0.0,4.0,2.0
2.0,462.0,10.296,70.0,314.505,5.0,2.0
11.0,0.0,11.0,0.0,0.0,2.0,1.0
12.0,0.0,12.0,0.0,0.0,5.0,2.0
19.0,820.0,62.364,156.0,993.431,2.0,0.0
12.0,37.0,16.318,163.0,171.94,4.0,1.0
15.0,22.0,12.277,6.0,5.248,2.0,1.0
0.0,0.0,-0.435,67.0,63.938,1.0,3.0
11.0,0.0,11.0,0.0,0.0,4.0,0.0
11.0,4.0,15.951,170.0,167.523,1.0,1.0
19.0,798.0,44.297,81.0,575.917,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,2.0
3.0,0.0,3.0,0.0,0.0,4.0,1.0
14.0,0.0,14.703,71.0,66.695,5.0,1.0
2.0,0.0,2.0,0.0,0.0,3.0,2.0
14.0,484.0,21.026,89.0,203.199,5.0,0.0
16.0,471.0,24.118,44.0,138.439,1.0,0.0
7.0,0.0,7.035,84.0,79.434,5.0,2.0
-3.0,0.0,-3.0,0.0,0.0,4.0,2.0
2.0,0.0,2.0,0.0,0.0,3.0,1.0
4.0,0.0,1.461,18.0,17.046,3.0,1.0
5.0,0.0,5.0,0.0,0.0,2.0,1.0
16.0,4.0,24.383,182.0,177.688,3.0,0.0
6.0,0.0,6.0,0.0,0.0,5.0,2.0
-9.0,0.0,-9.0,0.0,0.0,5.0,3.0
4.0,0.0,1.45,18.0,17.061,1.0,1.0
5.0,0.0,7.186,132.0,129.706,5.0,3.0
13.0,346.0,26.223,174.0,377.641,3.0,1.0
10.0,0.0,10.0,0.0,0.0,1.0,1.0
5.0,0.0,5.0,0.0,0.0,3.0,1.0
15.0,20.0,25.159,230.0,245.119,1.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,3.0
3.0,0.0,3.0,0.0,0.0,4.0,2.0
6.0,319.0,19.194,84.0,256.471,5.0,0.0
5.0,0.0,5.0,0.0,0.0,5.0,3.0
5.0,0.0,5.0,0.0,0.0,4.0,0.0
5.0,497.0,10.477,41.0,146.318,4.0,1.0
4.0,0.0,4.0,0.0,0.0,5.0,3.0
4.0,0.0,1.464,3.0,2.835,2.0,2.0
19.0,794.0,51.056,111.0,731.167,1.0,0.0
16.0,0.0,16.0,0.0,0.0,2.0,1.0
4.0,0.0,4.0,0.0,0.0,5.0,2.0
15.0,323.0,14.462,31.0,23.857,4.0,0.0
12.0,0.0,10.699,40.0,37.934,3.0,1.0
13.0,0.0,13.0,0.0,0.0,5.0,0.0
-6.0,0.0,-6.0,0.0,0.0,3.0,2.0
3.0,0.0,3.0,0.0,0.0,1.0,2.0
9.0,345.0,7.592,45.0,44.785,4.0,1.0
8.0,147.0,18.933,243.0,336.281,4.0,1.0
5.0,0.0,5.0,0.0,0.0,5.0,1.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
5.0,8.0,11.993,214.0,216.678,2.0,2.0
8.0,774.0,35.928,63.0,568.489,2.0,0.0
6.0,0.0,4.968,48.0,45.542,3.0,2.0
5.0,0.0,5.0,0.0,0.0,1.0,1.0
25.0,840.0,57.833,95.0,760.015,1.0,0.0
4.0,0.0,3.353,41.0,38.89,2.0,1.0
5.0,0.0,5.0,0.0,0.0,5.0,1.0
6.0,0.0,6.0,0.0,0.0,4.0,1.0
9.0,358.0,42.483,310.0,673.306,1.0,0.0
7.0,318.0,18.418,253.0,463.101,1.0,3.0
2.0,0.0,2.0,0.0,0.0,4.0,2.0
4.0,0.0,4.0,0.0,0.0,2.0,1.0
11.0,0.0,11.0,0.0,0.0,5.0,2.0
7.0,0.0,7.0,0.0,0.0,4.0,1.0
-6.0,0.0,-6.0,0.0,0.0,1.0,4.0
18.0,63.0,36.684,388.0,451.912,3.0,0.0
11.0,0.0,11.0,0.0,0.0,5.0,1.0
12.0,0.0,9.756,22.0,20.845,3.0,1.0
4.0,0.0,4.0,0.0,0.0,5.0,0.0
13.0,155.0,31.367,243.0,393.478,4.0,0.0
4.0,33.0,6.532,129.0,146.097,1.0,1.0
9.0,709.0,29.38,71.0,562.203,2.0,1.0
0.0,778.0,20.363,49.0,539.476,4.0,1.0
9.0,0.0,9.0,0.0,0.0,1.0,0.0
4.0,0.0,4.0,0.0,0.0,1.0,1.0
2.0,0.0,2.0,0.0,0.0,5.0,2.0
11.0,127.0,26.052,222.0,339.736,1.0,0.0
6.0,0.0,6.0,0.0,0.0,3.0,3.0
10.0,813.0,46.296,163.0,951.56,2.0,1.0
20.0,0.0,20.0,0.0,0.0,3.0,1.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
23.0,844.0,61.914,98.0,874.776,2.0,0.0
13.0,0.0,13.0,0.0,0.0,3.0,0.0
12.0,0.0,12.0,0.0,0.0,4.0,1.0
22.0,756.0,47.502,89.0,514.466,5.0,0.0
4.0,0.0,4.0,0.0,0.0,3.0,2.0
6.0,85.0,6.021,18.0,17.978,1.0,0.0
6.0,331.0,27.411,157.0,414.527,5.0,0.0
19.0,0.0,19.0,0.0,0.0,2.0,1.0
13.0,49.0,24.642,353.0,398.632,2.0,2.0
3.0,7.0,4.226,98.0,104.121,2.0,2.0
15.0,230.0,19.484,67.0,79.693,2.0,0.0
10.0,0.0,10.113,83.0,78.278,5.0,1.0
10.0,252.0,37.696,337.0,602.845,3.0,0.0
17.0,0.0,17.0,0.0,0.0,1.0,1.0
9.0,0.0,9.0,0.0,0.0,4.0,2.0
2.0,0.0,2.0,0.0,0.0,1.0,1.0
3.0,0.0,3.0,0.0,0.0,1.0,1.0
1.0,131.0,-0.21,15.0,44.356,2.0,2.0
16.0,196.0,35.366,316.0,458.21,3.0,0.0
5.0,63.0,11.061,198.0,252.823,5.0,2.0
-4.0,0.0,-4.0,0.0,0.0,5.0,2.0
13.0,0.0,13.0,0.0,0.0,1.0,0.0
15.0,0.0,15.0,0.0,0.0,2.0,0.0
21.0,489.0,24.913,58.0,117.105,5.0,1.0
12.0,0.0,12.0,0.0,0.0,1.0,0.0
14.0,848.0,51.943,95.0,835.613,3.0,0.0
7.0,0.0,7.0,0.0,0.0,3.0,2.0
2.0,668.0,17.272,52.0,430.429,1.0,1.0
13.0,49.0,24.642,353.0,398.632,5.0,2.0
11.0,834.0,36.535,93.0,645.576,1.0,1.0
16.0,875.0,52.663,84.0,795.787,4.0,0.0
3.0,0.0,3.0,0.0,0.0,1.0,1.0
7.0,229.0,6.606,26.0,28.229,3.0,1.0
-3.0,0.0,-3.0,0.0,0.0,2.0,2.0
4.0,0.0,4.0,0.0,0.0,3.0,2.0
6.0,0.0,6.0,0.0,0.0,4.0,0.0
10.0,41.0,20.664,266.0,290.667,2.0,1.0
5.0,0.0,5.169,79.0,75.088,4.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,1.0
11.0,0.0,11.0,0.0,0.0,3.0,1.0
21.0,0.0,17.678,18.0,17.046,3.0,0.0
11.0,0.0,11.0,0.0,0.0,1.0,1.0
4.0,0.0,4.0,0.0,0.0,4.0,2.0
25.0,740.0,49.774,92.0,501.676,2.0,0.0
16.0,0.0,16.0,0.0,0.0,3.0,0.0
8.0,0.0,8.0,0.0,0.0,5.0,2.0
24.0,348.0,50.235,263.0,520.266,4.0,0.0
4.0,0.0,4.0,0.0,0.0,4.0,2.0
18.0,0.0,18.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,3.0
3.0,0.0,3.0,0.0,0.0,5.0,2.0
3.0,0.0,3.0,0.0,0.0,2.0,1.0
11.0,0.0,11.0,0.0,0.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,4.0,3.0
16.0,3.0,20.193,176.0,172.596,5.0,1.0
5.0,0.0,5.0,0.0,0.0,2.0,2.0
4.0,0.0,4.0,0.0,0.0,3.0,3.0
7.0,146.0,22.305,371.0,519.07,3.0,2.0
1.0,0.0,1.0,0.0,0.0,5.0,2.0
21.0,735.0,51.009,114.0,625.573,4.0,0.0
22.0,720.0,46.038,92.0,477.561,5.0,0.0
3.0,0.0,3.0,0.0,0.0,4.0,2.0
8.0,0.0,8.0,0.0,0.0,5.0,4.0
3.0,0.0,0.798,8.0,7.569,1.0,1.0
16.0,0.0,16.0,0.0,0.0,5.0,0.0
1.0,0.0,1.0,0.0,0.0,4.0,2.0
11.0,738.0,38.424,97.0,611.384,1.0,0.0
10.0,0.0,10.0,0.0,0.0,1.0,1.0
14.0,85.0,30.126,359.0,431.233,2.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,2.0
8.0,923.0,38.048,94.0,930.055,2.0,2.0
16.0,0.0,16.0,0.0,0.0,5.0,1.0
12.0,802.0,32.753,74.0,612.211,3.0,1.0
5.0,0.0,8.192,141.0,135.724,4.0,2.0
9.0,0.0,9.0,0.0,0.0,2.0,0.0
6.0,800.0,29.92,68.0,638.248,1.0,1.0
6.0,0.0,3.994,11.0,10.415,3.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0
17.0,522.0,24.018,58.0,122.841,5.0,0.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,1.0
15.0,0.0,17.036,112.0,106.901,2.0,1.0
12.0,42.0,21.908,311.0,341.675,3.0,3.0
5.0,0.0,3.652,29.0,27.497,4.0,3.0
16.0,0.0,16.0,0.0,0.0,5.0,1.0
5.0,0.0,5.0,0.0,0.0,1.0,1.0
6.0,0.0,6.0,0.0,0.0,2.0,0.0
11.0,0.0,11.0,0.0,0.0,4.0,1.0
6.0,0.0,6.0,0.0,0.0,5.0,0.0
6.0,814.0,35.121,74.0,638.763,3.0,0.0
1.0,89.0,-0.673,10.0,30.4,5.0,2.0
14.0,857.0,55.886,133.0,927.599,5.0,0.0
10.0,421.0,18.883,57.0,243.287,3.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0
7.0,21.0,12.749,172.0,188.222,5.0,1.0
3.0,0.0,0.375,18.0,17.042,5.0,1.0
17.0,803.0,51.863,106.0,789.934,1.0,0.0
13.0,0.0,13.0,0.0,0.0,1.0,0.0
20.0,838.0,57.902,115.0,872.397,2.0,0.0
-2.0,48.0,1.598,117.0,156.907,5.0,2.0
5.0,10.0,8.025,154.0,161.686,1.0,2.0
7.0,0.0,7.0,0.0,0.0,4.0,0.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
5.0,0.0,2.473,20.0,18.957,3.0,1.0
1.0,0.0,1.0,0.0,0.0,5.0,1.0
3.0,0.0,3.0,0.0,0.0,4.0,2.0
12.0,885.0,50.524,98.0,861.906,2.0,0.0
3.0,0.0,3.0,0.0,0.0,4.0,0.0
9.0,347.0,12.569,37.0,105.596,4.0,1.0
8.0,38.0,21.009,184.0,218.502,2.0,0.0
7.0,420.0,20.164,110.0,380.609,4.0,1.0
6.0,0.0,6.0,0.0,0.0,3.0,0.0
8.0,299.0,13.893,21.0,95.647,1.0,0.0
5.0,0.0,3.084,3.0,2.835,4.0,4.0
15.0,694.0,40.616,137.0,577.792,5.0,0.0
4.0,0.0,4.0,0.0,0.0,5.0,0.0
4.0,73.0,17.791,310.0,387.908,5.0,1.0
2.0,0.0,2.0,0.0,0.0,4.0,2.0
18.0,429.0,22.571,47.0,81.246,2.0,0.0
10.0,848.0,43.546,70.0,717.296,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,2.0
5.0,0.0,5.0,0.0,0.0,2.0,1.0
14.0,270.0,31.713,204.0,341.462,4.0,0.0
9.0,0.0,7.819,77.0,73.977,5.0,0.0
11.0,0.0,11.0,0.0,0.0,4.0,1.0
4.0,0.0,4.0,0.0,0.0,2.0,1.0
12.0,587.0,18.359,86.0,232.717,3.0,1.0
4.0,0.0,4.0,0.0,0.0,3.0,2.0
0.0,778.0,20.363,49.0,539.476,2.0,1.0
-1.0,0.0,-1.0,0.0,0.0,1.0,2.0
5.0,0.0,2.636,8.0,7.567,3.0,2.0
6.0,0.0,6.0,0.0,0.0,3.0,1.0
12.0,0.0,12.0,0.0,0.0,5.0,0.0
13.0,0.0,13.0,0.0,0.0,1.0,0.0
21.0,799.0,53.772,113.0,751.091,5.0,0.0
16.0,471.0,24.118,44.0,138.439,5.0,0.0
20.0,797.0,56.477,126.0,838.769,3.0,0.0
12.0,223.0,17.882,128.0,177.036,4.0,0.0
2.0,0.0,2.0,0.0,0.0,2.0,2.0
13.0,170.0,30.171,315.0,479.39,5.0,1.0
8.0,0.0,8.724,83.0,79.336,1.0,1.0
16.0,0.0,16.0,0.0,0.0,3.0,1.0
7.0,0.0,7.0,0.0,0.0,4.0,3.0
5.0,0.0,5.869,108.0,104.27,3.0,3.0
9.0,0.0,9.0,0.0,0.0,1.0,3.0
5.0,0.0,5.0,0.0,0.0,2.0,1.0
15.0,93.0,14.142,37.0,30.359,4.0,1.0
9.0,0.0,8.32,50.0,47.473,3.0,2.0
8.0,0.0,7.735,59.0,56.018,2.0,1.0
4.0,0.0,4.0,0.0,0.0,3.0,1.0
22.0,775.0,62.323,154.0,920.569,3.0,0.0
7.0,329.0,9.674,68.0,90.913,2.0,1.0
3.0,0.0,0.943,50.0,47.451,1.0,0.0
9.0,0.0,9.0,0.0,0.0,3.0,0.0
12.0,102.0,20.702,150.0,175.003,1.0,0.0
5.0,0.0,5.0,0.0,0.0,4.0,2.0
11.0,0.0,12.08,103.0,98.165,3.0,2.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
3.0,0.0,3.0,0.0,0.0,2.0,2.0
15.0,0.0,15.457,67.0,63.83,1.0,1.0
-4.0,0.0,-4.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,1.0
5.0,0.0,5.0,0.0,0.0,1.0,3.0
12.0,0.0,12.0,0.0,0.0,3.0,0.0
6.0,12.0,15.194,234.0,236.792,1.0,1.0
11.0,0.0,11.0,0.0,0.0,3.0,1.0
4.0,0.0,3.866,65.0,62.675,1.0,2.0
2.0,0.0,2.0,0.0,0.0,3.0,2.0
12.0,0.0,12.0,0.0,0.0,1.0,1.0
24.0,835.0,56.868,104.0,760.388,1.0,0.0
1.0,0.0,1.0,0.0,0.0,4.0,0.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
9.0,0.0,9.0,0.0,0.0,3.0,0.0
7.0,94.0,5.765,50.0,73.81,4.0,0.0
2.0,0.0,2.0,0.0,0.0,2.0,2.0
18.0,0.0,18.0,0.0,0.0,4.0,0.0
12.0,846.0,45.552,80.0,746.015,5.0,0.0
10.0,0.0,10.0,0.0,0.0,3.0,0.0
4.0,0.0,4.0,0.0,0.0,3.0,1.0
14.0,836.0,36.924,90.0,638.636,4.0,1.0
15.0,0.0,15.0,0.0,0.0,3.0,0.0
10.0,0.0,7.604,18.0,17.043,5.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,1.0
7.0,0.0,7.0,0.0,0.0,2.0,0.0
13.0,0.0,13.0,0.0,0.0,3.0,0.0
6.0,708.0,23.649,64.0,438.667,2.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,1.0
2.0,575.0,7.339,45.0,258.378,3.0,3.0
10.0,408.0,42.608,296.0,688.609,4.0,0.0
12.0,0.0,12.0,0.0,0.0,4.0,1.0
12.0,0.0,9.428,11.0,10.42,2.0,1.0
5.0,0.0,5.0,0.0,0.0,2.0,3.0
7.0,0.0,6.391,54.0,51.275,5.0,1.0
-4.0,0.0,-4.0,0.0,0.0,2.0,3.0
3.0,226.0,5.663,78.0,146.851,3.0,1.0
8.0,0.0,8.0,0.0,0.0,4.0,1.0
4.0,0.0,4.0,0.0,0.0,3.0,1.0
10.0,9.0,14.952,152.0,155.191,2.0,0.0
8.0,674.0,26.769,131.0,530.383,4.0,1.0
10.0,324.0,15.762,80.0,104.77,2.0,0.0
4.0,6.0,4.422,92.0,87.973,1.0,1.0
7.0,678.0,23.323,70.0,384.154,5.0,0.0
9.0,0.0,8.066,51.0,48.411,4.0,0.0
7.0,200.0,5.168,19.0,14.634,3.0,1.0
7.0,0.0,7.0,0.0,0.0,3.0,0.0
6.0,0.0,6.279,69.0,65.54,4.0,0.0
3.0,0.0,3.0,0.0,0.0,3.0,2.0
14.0,827.0,49.682,92.0,766.086,4.0,0.0
22.0,644.0,38.336,93.0,320.948,5.0,0.0
5.0,0.0,5.0,0.0,0.0,4.0,1.0
8.0,508.0,20.595,98.0,404.493,2.0,1.0
7.0,0.0,3.774,23.0,21.786,4.0,0.0
8.0,0.0,11.993,127.0,124.796,3.0,0.0
9.0,0.0,7.819,77.0,73.977,1.0,0.0
14.0,8.0,22.72,215.0,216.942,4.0,1.0
8.0,523.0,40.433,270.0,720.18,4.0,0.0
5.0,0.0,5.0,0.0,0.0,3.0,1.0
-2.0,0.0,-2.0,0.0,0.0,1.0,1.0
-2.0,0.0,-2.0,0.0,0.0,5.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0,3.0
4.0,0.0,4.0,0.0,0.0,1.0,1.0
21.0,801.0,58.27,124.0,817.146,1.0,0.0
14.0,881.0,58.691,131.0,1012.85,3.0,0.0
8.0,0.0,8.0,0.0,0.0,4.0,4.0
1.0,0.0,1.0,0.0,0.0,2.0,2.0
4.0,0.0,4.0,0.0,0.0,5.0,1.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
-8.0,0.0,-8.0,0.0,0.0,4.0,3.0
3.0,0.0,3.0,0.0,0.0,4.0,0.0
6.0,0.0,6.0,0.0,0.0,3.0,4.0
5.0,13.0,10.143,136.0,146.276,1.0,0.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
12.0,0.0,9.298,5.0,4.726,5.0,1.0
12.0,635.0,19.307,64.0,292.209,5.0,2.0
3.0,0.0,3.0,0.0,0.0,2.0,2.0
10.0,0.0,10.0,0.0,0.0,5.0,1.0
3.0,0.0,3.0,0.0,0.0,2.0,2.0
15.0,0.0,15.0,0.0,0.0,4.0,0.0
5.0,0.0,3.761,34.0,32.245,2.0,3.0
7.0,0.0,7.0,0.0,0.0,1.0,1.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0
7.0,0.0,7.0,0.0,0.0,4.0,1.0
4.0,0.0,4.0,0.0,0.0,5.0,2.0
6.0,664.0,26.3,109.0,476.589,1.0,0.0
4.0,0.0,4.0,0.0,0.0,2.0,2.0
12.0,266.0,33.203,269.0,445.795,3.0,0.0
3.0,0.0,3.0,0.0,0.0,2.0,1.0
5.0,0.0,5.0,0.0,0.0,5.0,2.0
11.0,0.0,11.0,0.0,0.0,1.0,1.0
3.0,0.0,3.0,0.0,0.0,4.0,2.0
4.0,717.0,20.401,68.0,468.548,5.0,1.0
9.0,587.0,42.265,235.0,735.947,3.0,0.0
4.0,747.0,16.083,62.0,468.985,4.0,3.0
5.0,0.0,5.0,0.0,0.0,2.0,2.0
14.0,331.0,13.548,60.0,62.449,1.0,1.0
3.0,0.0,3.0,0.0,0.0,4.0,1.0
19.0,0.0,19.0,0.0,0.0,1.0,0.0
16.0,658.0,32.975,84.0,314.265,4.0,0.0
8.0,0.0,8.0,0.0,0.0,2.0,1.0
17.0,0.0,17.0,0.0,0.0,4.0,1.0
23.0,4.0,30.034,186.0,182.721,1.0,0.0
5.0,0.0,5.09,70.0,66.646,2.0,0.0
3.0,158.0,4.416,74.0,121.75,3.0,2.0
18.0,0.0,18.0,0.0,0.0,5.0,0.0
5.0,263.0,16.493,187.0,413.536,3.0,2.0
27.0,854.0,68.897,118.0,977.274,2.0,0.0
2.0,0.0,2.0,0.0,0.0,2.0,1.0
6.0,0.0,6.0,0.0,0.0,2.0,2.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
7.0,0.0,7.0,0.0,0.0,4.0,4.0
9.0,0.0,9.0,0.0,0.0,2.0,1.0
4.0,0.0,4.0,0.0,0.0,3.0,2.0
5.0,0.0,5.0,0.0,0.0,4.0,1.0
16.0,0.0,21.354,98.0,93.222,1.0,0.0
2.0,0.0,2.0,0.0,0.0,3.0,2.0
11.0,0.0,9.115,1.0,0.944,3.0,4.0
6.0,0.0,5.007,9.0,8.534,1.0,3.0
5.0,15.0,7.206,108.0,111.656,5.0,1.0
14.0,0.0,14.0,0.0,0.0,1.0,1.0
22.0,808.0,55.196,108.0,708.042,2.0,0.0
17.0,571.0,29.882,45.0,228.93,4.0,0.0
3.0,0.0,3.0,0.0,0.0,4.0,5.0
15.0,203.0,21.517,91.0,109.25,3.0,0.0
