date,HouseType,RUs,EVs,HVAC,Isolation,Holiday,Seed
189.0,1.0,0.0,0.0,0.0,1.0,1.0,6.220000000000001
123.0,4.0,0.0,0.0,0.0,1.0,0.0,13.95
346.0,4.0,0.0,0.0,0.0,1.0,0.0,9.76
29.0,2.0,2.0,0.0,1.0,1.0,0.0,20.270000000000003
207.0,4.0,0.0,0.0,0.0,1.0,0.0,15.58
278.0,2.0,1.0,0.0,0.0,1.0,0.0,11.37
348.0,2.0,0.0,0.0,1.0,1.0,0.0,8.92
38.0,4.0,0.0,0.0,0.0,1.0,1.0,19.76
271.0,4.0,0.0,0.0,0.0,1.0,1.0,28.32
145.0,3.0,0.0,0.0,0.0,1.0,0.0,12.97
275.0,6.0,1.0,0.0,0.0,1.0,1.0,11.31
298.0,3.0,0.0,0.0,1.0,1.0,0.0,6.7
334.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08
20.0,2.0,2.0,0.0,1.0,1.0,0.0,25.56
97.0,4.0,0.0,0.0,0.0,1.0,1.0,10.39
347.0,5.0,0.0,0.0,0.0,1.0,0.0,15.01
162.0,5.0,1.0,0.0,0.0,1.0,0.0,24.89
182.0,6.0,1.0,0.0,1.0,1.0,1.0,29.472
204.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0700000000000003
52.0,6.0,1.0,0.0,1.0,1.0,0.0,18.741
22.0,5.0,1.0,0.0,0.0,1.0,1.0,27.61
47.0,4.0,0.0,0.0,0.0,1.0,0.0,13.75
6.0,5.0,1.0,0.0,0.0,1.0,0.0,22.34
94.0,5.0,0.0,0.0,1.0,1.0,0.0,49.93
193.0,1.0,0.0,0.0,1.0,1.0,0.0,12.86
161.0,5.0,0.0,0.0,0.0,1.0,0.0,16.13
222.0,3.0,0.0,0.0,1.0,1.0,0.0,8.4
265.0,2.0,2.0,0.0,1.0,1.0,0.0,20.09
37.0,3.0,0.0,0.0,1.0,1.0,1.0,6.96
66.0,5.0,0.0,0.0,0.0,1.0,1.0,20.0
73.0,2.0,1.0,0.0,0.0,1.0,1.0,44.84
202.0,4.0,1.0,0.0,0.0,0.0,0.0,36.14
201.0,2.0,1.0,0.0,0.0,1.0,0.0,12.75
178.0,2.0,1.0,0.0,0.0,1.0,1.0,47.35
41.0,4.0,0.0,0.0,0.0,1.0,0.0,29.71
187.0,5.0,0.0,0.0,0.0,1.0,0.0,12.7
274.0,4.0,1.0,0.0,0.0,0.0,0.0,29.05
161.0,2.0,0.0,0.0,1.0,1.0,0.0,19.23
136.0,5.0,0.0,0.0,0.0,0.0,1.0,34.03
224.0,6.0,1.0,0.0,0.0,1.0,1.0,52.7
215.0,5.0,1.0,0.0,0.0,1.0,0.0,17.96
228.0,3.0,0.0,0.0,0.0,1.0,0.0,18.32
222.0,6.0,1.0,0.0,0.0,1.0,0.0,74.31
62.0,2.0,1.0,0.0,0.0,1.0,0.0,18.46
26.0,2.0,2.0,0.0,1.0,1.0,0.0,30.55
341.0,4.0,1.0,0.0,0.0,0.0,0.0,29.12
255.0,2.0,0.0,0.0,1.0,1.0,0.0,8.38
194.0,5.0,0.0,0.0,0.0,1.0,0.0,14.54
332.0,2.0,1.0,0.0,0.0,1.0,0.0,21.82
339.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0
86.0,6.0,1.0,0.0,1.0,1.0,0.0,32.963
74.0,3.0,0.0,0.0,1.0,1.0,0.0,5.300000000000001
184.0,4.0,0.0,0.0,0.0,1.0,1.0,14.12
273.0,1.0,0.0,0.0,1.0,1.0,0.0,7.75
118.0,0.0,0.0,0.0,0.0,0.0,1.0,7.25
155.0,5.0,0.0,0.0,0.0,0.0,0.0,14.91
275.0,4.0,0.0,0.0,0.0,1.0,0.0,17.04
12.0,5.0,0.0,0.0,0.0,0.0,0.0,14.91
250.0,1.0,0.0,0.0,1.0,1.0,0.0,11.96
185.0,4.0,0.0,0.0,1.0,1.0,1.0,21.5
189.0,6.0,1.0,0.0,1.0,1.0,0.0,25.061
48.0,4.0,0.0,0.0,1.0,1.0,0.0,22.5
208.0,2.0,2.0,0.0,1.0,1.0,0.0,21.7
174.0,5.0,0.0,0.0,1.0,1.0,1.0,52.75
180.0,4.0,1.0,0.0,0.0,0.0,0.0,26.77
224.0,1.0,0.0,0.0,0.0,1.0,1.0,5.61
268.0,5.0,0.0,0.0,1.0,1.0,0.0,39.59
296.0,4.0,1.0,0.0,0.0,0.0,0.0,42.73
24.0,6.0,1.0,0.0,1.0,1.0,0.0,21.768
312.0,2.0,2.0,0.0,1.0,1.0,0.0,19.58
322.0,5.0,0.0,0.0,1.0,1.0,0.0,35.09
78.0,1.0,0.0,0.0,0.0,1.0,1.0,7.54
306.0,2.0,1.0,0.0,0.0,1.0,0.0,36.93
300.0,3.0,0.0,0.0,1.0,1.0,0.0,6.3100000000000005
94.0,5.0,0.0,0.0,0.0,1.0,0.0,19.07
278.0,3.0,0.0,0.0,1.0,1.0,0.0,17.939999999999998
213.0,3.0,0.0,0.0,1.0,1.0,0.0,66.83
191.0,4.0,1.0,0.0,0.0,0.0,1.0,24.200000000000003
264.0,3.0,0.0,0.0,1.0,1.0,0.0,7.720000000000001
167.0,3.0,0.0,0.0,1.0,1.0,0.0,13.52
92.0,2.0,2.0,0.0,1.0,1.0,0.0,16.5
67.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199999999999999
348.0,3.0,0.0,0.0,0.0,1.0,0.0,13.09
53.0,4.0,0.0,0.0,0.0,1.0,1.0,15.72
254.0,5.0,0.0,0.0,0.0,1.0,0.0,49.3
284.0,1.0,0.0,0.0,1.0,1.0,1.0,12.45
314.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
193.0,5.0,0.0,0.0,0.0,1.0,0.0,14.45
34.0,3.0,0.0,0.0,0.0,1.0,0.0,6.09
215.0,6.0,1.0,0.0,0.0,1.0,0.0,12.2
330.0,5.0,1.0,0.0,0.0,1.0,0.0,9.54
221.0,4.0,0.0,0.0,0.0,1.0,0.0,17.759999999999998
321.0,6.0,1.0,0.0,1.0,1.0,1.0,25.448
69.0,5.0,0.0,0.0,0.0,0.0,0.0,15.26
275.0,1.0,0.0,0.0,0.0,1.0,0.0,7.739999999999999
69.0,2.0,0.0,0.0,1.0,1.0,1.0,11.36
174.0,4.0,0.0,0.0,0.0,1.0,0.0,22.21
332.0,6.0,1.0,0.0,0.0,1.0,1.0,79.43
221.0,2.0,1.0,0.0,0.0,1.0,1.0,9.16
39.0,5.0,0.0,0.0,1.0,1.0,1.0,44.43
47.0,2.0,0.0,0.0,1.0,1.0,1.0,7.720000000000001
348.0,4.0,0.0,0.0,0.0,1.0,0.0,10.4
174.0,3.0,0.0,0.0,1.0,1.0,1.0,9.58
245.0,4.0,1.0,0.0,0.0,0.0,0.0,26.74
233.0,1.0,0.0,0.0,1.0,1.0,0.0,6.43
186.0,6.0,1.0,0.0,1.0,1.0,1.0,21.863
85.0,4.0,1.0,0.0,0.0,0.0,1.0,32.36
254.0,1.0,0.0,0.0,0.0,1.0,1.0,10.79
327.0,3.0,0.0,0.0,1.0,1.0,0.0,9.96
23.0,4.0,0.0,0.0,1.0,1.0,1.0,18.99
269.0,1.0,0.0,0.0,1.0,1.0,1.0,7.93
333.0,3.0,0.0,0.0,1.0,1.0,0.0,5.29
285.0,2.0,0.0,0.0,1.0,1.0,0.0,7.07
336.0,5.0,0.0,0.0,0.0,1.0,0.0,35.37
223.0,2.0,1.0,0.0,0.0,1.0,0.0,10.21
354.0,5.0,0.0,0.0,0.0,0.0,0.0,16.560000000000002
329.0,3.0,0.0,0.0,1.0,1.0,1.0,14.39
94.0,3.0,0.0,0.0,1.0,1.0,0.0,11.82
257.0,2.0,2.0,0.0,1.0,1.0,0.0,20.97
348.0,2.0,2.0,0.0,1.0,1.0,0.0,22.04
332.0,4.0,0.0,0.0,0.0,1.0,0.0,18.32
77.0,1.0,0.0,0.0,1.0,1.0,0.0,9.97
301.0,2.0,1.0,0.0,0.0,1.0,0.0,12.92
282.0,6.0,1.0,0.0,0.0,1.0,0.0,13.34
37.0,6.0,1.0,0.0,0.0,1.0,1.0,82.9
239.0,5.0,1.0,0.0,0.0,1.0,0.0,20.36
134.0,3.0,0.0,0.0,1.0,1.0,0.0,28.81
52.0,2.0,1.0,0.0,0.0,1.0,0.0,36.16
136.0,6.0,1.0,0.0,0.0,1.0,1.0,19.84
356.0,1.0,0.0,0.0,1.0,1.0,0.0,15.84
211.0,3.0,0.0,0.0,1.0,1.0,0.0,22.75
250.0,1.0,0.0,0.0,1.0,1.0,0.0,23.750000000000004
297.0,3.0,0.0,0.0,1.0,1.0,0.0,7.660000000000001
68.0,5.0,1.0,0.0,0.0,1.0,0.0,23.34
210.0,6.0,1.0,0.0,1.0,1.0,1.0,30.418
51.0,5.0,1.0,0.0,0.0,1.0,1.0,18.62
39.0,1.0,0.0,0.0,0.0,1.0,0.0,5.77
28.0,4.0,0.0,0.0,0.0,1.0,0.0,41.38
126.0,3.0,0.0,0.0,1.0,1.0,1.0,8.59
59.0,3.0,0.0,0.0,1.0,1.0,1.0,6.44
119.0,3.0,0.0,0.0,1.0,1.0,1.0,10.97
250.0,4.0,0.0,0.0,0.0,1.0,0.0,31.41
42.0,3.0,0.0,0.0,1.0,1.0,1.0,12.9
352.0,5.0,0.0,0.0,0.0,0.0,0.0,44.15
191.0,6.0,0.0,85.0,1.0,0.0,0.0,23.89
243.0,2.0,2.0,0.0,1.0,1.0,0.0,24.950000000000003
285.0,6.0,1.0,0.0,1.0,1.0,1.0,20.772
346.0,4.0,0.0,0.0,0.0,1.0,1.0,18.89
111.0,6.0,1.0,0.0,1.0,1.0,0.0,18.818
267.0,3.0,0.0,0.0,1.0,1.0,0.0,4.98
340.0,4.0,1.0,0.0,0.0,0.0,1.0,13.79
17.0,3.0,0.0,0.0,1.0,1.0,0.0,7.529999999999999
267.0,4.0,0.0,0.0,1.0,1.0,0.0,9.0
36.0,4.0,1.0,0.0,0.0,0.0,0.0,20.58
111.0,3.0,0.0,0.0,1.0,1.0,1.0,9.38
65.0,6.0,1.0,0.0,0.0,1.0,1.0,106.55
157.0,4.0,0.0,0.0,0.0,1.0,0.0,20.41
36.0,2.0,1.0,0.0,0.0,1.0,1.0,26.73
23.0,4.0,0.0,0.0,0.0,1.0,0.0,16.099999999999998
196.0,6.0,0.0,85.0,1.0,0.0,1.0,33.370000000000005
336.0,4.0,1.0,0.0,0.0,0.0,0.0,41.59
236.0,4.0,0.0,0.0,0.0,1.0,0.0,13.07
30.0,5.0,0.0,0.0,1.0,1.0,0.0,51.3
204.0,1.0,0.0,0.0,0.0,1.0,0.0,7.749999999999999
28.0,3.0,0.0,0.0,1.0,1.0,1.0,22.56
11.0,5.0,0.0,0.0,0.0,1.0,0.0,11.0
117.0,2.0,2.0,0.0,1.0,1.0,0.0,25.68
152.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07
4.0,4.0,1.0,0.0,0.0,0.0,0.0,38.790000000000006
229.0,1.0,0.0,0.0,0.0,1.0,0.0,9.68
142.0,4.0,1.0,0.0,0.0,0.0,1.0,22.89
332.0,3.0,0.0,0.0,0.0,1.0,1.0,13.16
287.0,5.0,0.0,0.0,0.0,1.0,0.0,11.07
20.0,4.0,1.0,0.0,0.0,0.0,0.0,33.73
325.0,5.0,1.0,0.0,0.0,1.0,1.0,30.31
119.0,3.0,0.0,0.0,1.0,1.0,1.0,5.2
322.0,4.0,0.0,0.0,0.0,1.0,0.0,26.130000000000003
312.0,1.0,0.0,0.0,0.0,1.0,0.0,7.800000000000001
4.0,5.0,0.0,0.0,0.0,0.0,0.0,19.1
262.0,1.0,0.0,0.0,1.0,1.0,1.0,6.76
348.0,2.0,1.0,0.0,0.0,1.0,0.0,14.329999999999998
302.0,3.0,0.0,0.0,1.0,1.0,1.0,17.169999999999998
278.0,4.0,0.0,0.0,1.0,1.0,0.0,19.3
188.0,3.0,0.0,0.0,0.0,1.0,0.0,7.460000000000001
175.0,6.0,0.0,85.0,1.0,0.0,0.0,49.95
134.0,3.0,0.0,0.0,1.0,1.0,0.0,11.04
38.0,6.0,1.0,0.0,1.0,1.0,0.0,26.847
113.0,2.0,0.0,0.0,1.0,1.0,0.0,7.07
252.0,5.0,0.0,0.0,0.0,1.0,1.0,17.240000000000002
65.0,3.0,0.0,0.0,1.0,1.0,0.0,24.17
301.0,4.0,0.0,0.0,0.0,1.0,1.0,14.55
341.0,3.0,0.0,0.0,1.0,1.0,0.0,5.9
278.0,6.0,0.0,85.0,1.0,0.0,0.0,23.55
248.0,5.0,1.0,0.0,0.0,1.0,1.0,11.35
86.0,4.0,0.0,0.0,0.0,1.0,0.0,22.130000000000003
63.0,4.0,0.0,0.0,0.0,1.0,1.0,14.23
122.0,5.0,0.0,0.0,0.0,0.0,1.0,25.14
253.0,4.0,0.0,0.0,0.0,1.0,1.0,27.48
65.0,5.0,0.0,0.0,0.0,0.0,0.0,17.6
288.0,3.0,0.0,0.0,1.0,1.0,1.0,8.74
151.0,3.0,0.0,0.0,1.0,1.0,0.0,5.8
314.0,2.0,2.0,0.0,1.0,1.0,0.0,19.22
9.0,3.0,0.0,0.0,1.0,1.0,0.0,8.7
266.0,3.0,0.0,0.0,0.0,1.0,1.0,13.2
277.0,2.0,2.0,0.0,1.0,1.0,0.0,15.760000000000002
40.0,3.0,0.0,0.0,0.0,1.0,0.0,16.32
1.0,3.0,0.0,0.0,1.0,1.0,1.0,13.05
300.0,3.0,0.0,0.0,1.0,1.0,1.0,1.88
21.0,3.0,0.0,0.0,1.0,1.0,0.0,10.62
241.0,5.0,0.0,0.0,0.0,0.0,0.0,27.3
262.0,5.0,1.0,0.0,0.0,1.0,0.0,27.12
12.0,3.0,0.0,0.0,1.0,1.0,0.0,14.14
246.0,4.0,1.0,0.0,0.0,0.0,0.0,25.5
