Month,Day,Coverage,Generation,Consumption
1.0,1.0,4.710046661130763,1.9748078856148208,41.92756521738406
1.0,2.0,5.792095684973158,2.5384157259717433,43.82551435670053
1.0,3.0,5.568606919184122,2.4918690296893264,44.74851728364443
1.0,4.0,-0.023519118080737988,-0.010696962913528523,45.481989914788805
1.0,5.0,0.2706246021621455,0.12460786474744402,46.04454426977222
1.0,6.0,0.18004849525533245,0.08355895007729609,46.409135471417585
1.0,7.0,3.239141970236486,1.497385389983982,46.227840698030896
1.0,8.0,3.5741770476819577,1.6296853423125368,45.596100041252114
1.0,9.0,5.216785460084204,2.3179584806973974,44.43269707817318
1.0,10.0,2.479788961718048,1.0658338851430156,42.98083028825906
1.0,11.0,1.9992902770862626,0.8320817471387459,41.618856284911764
1.0,12.0,2.6647870688401984,1.08156827864061,40.58741845784112
1.0,13.0,0.3880196614818978,0.1534265031343578,39.5409094859786
1.0,14.0,1.5710802940174458,0.6046962605890497,38.489201531690455
1.0,15.0,0.5224156236294089,0.19629790640088846,37.57504514071314
1.0,16.0,0.4877665806676972,0.17924708596786265,36.74853773755753
1.0,17.0,2.634531279456455,0.9488163311466777,36.01461628280357
1.0,18.0,2.2019045314430574,0.778455344815975,35.35372827021707
1.0,19.0,4.420530118177663,1.535622785657005,34.73843056384506
1.0,20.0,0.49432870703367826,0.16987606426242863,34.3650008274464
1.0,21.0,3.2782306012534206,1.1166254507718625,34.06183354962657
1.0,22.0,2.0939122469861906,0.707140372221348,33.77125155264501
1.0,23.0,2.2914686097158334,0.7683102172218026,33.529161777043996
1.0,24.0,-0.04361951501931618,-0.014572299754883148,33.4077528107088
1.0,25.0,1.6486574598164752,0.5488100128722099,33.28829828200348
1.0,26.0,5.661253397308168,1.8825609864502808,33.253430898277884
1.0,27.0,2.1522113763586947,0.7149632815096042,33.219937844545896
1.0,28.0,0.8515100416290373,0.28251205747748614,33.17777168393785
1.0,29.0,1.7040844943400504,0.5635193790436354,33.068746351211445
1.0,30.0,10.843823562236516,3.5678539399068936,32.902176242814406
1.0,31.0,5.911362739751241,1.9366015455570276,32.76066164125334
2.0,1.0,1.5599156880109515,0.5089697879804155,32.628031879684656
2.0,2.0,2.29700817382313,0.7463046488714906,32.490291387572405
2.0,3.0,1.6461261574505983,0.5325951200197078,32.35445336975586
