"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","5","14","0","25","2","3","23.684","0.742","45.338","34.3"
"1","5","15","0","3","2","2","2.835","-0.087","5.446","0"
"1","5","16","0","0","2","2","0","2","0","0"
"1","5","17","0","0","2","2","0","2","0","0"
"1","5","18","0","0","2","2","0","2","0","0"
"1","5","19","0","0","2","2","0","2","0","0"
"1","5","20","0","0","2","2","0","2","0","0"
"1","5","21","0","0","3","2","0","3","0","0"
"1","5","22","0","0","3","2","0","3","0","0"
"1","5","23","0","0","2","2","0","2","0","0"
"1","6","0","0","0","2","2","0","2","0","0"
"1","6","1","0","0","2","2","0","2","0","0"
"1","6","2","0","0","2","2","0","2","0","0"
"1","6","3","0","0","2","2","0","2","0","0"
"1","6","4","0","0","2","2","0","2","0","0"
"1","6","5","0","0","2","2","0","2","0","0"
"1","6","6","0","0","2","2","0","2","0","0"
"1","6","7","0","0","2","2","0","2","0","0"
"1","6","8","0","1","2","2","0.944","-0.233","1.815","0"
"1","6","9","0","7","2","2","6.619","-0.067","12.715","2.281"
"1","6","10","0","42","3","2","39.839","1.923","75.885","64.263"
"1","6","11","0","75","3","2","72.771","2.997","137.981","125.119"
"1","6","12","0","18","3","2","17.048","1.525","32.527","21.728"
"1","6","13","0","11","3","2","10.412","1.119","19.9","9.335"
"1","6","14","0","15","3","2","14.198","1.202","27.127","16.428"
"1","6","15","0","3","3","2","2.835","0.89","5.424","0"
"1","6","16","0","0","3","2","0","3","0","0"
"1","6","17","0","0","3","2","0","3","0","0"
"1","6","18","0","0","3","2","0","3","0","0"
"1","6","19","0","0","3","2","0","3","0","0"
"1","6","20","0","0","3","2","0","3","0","0"
"1","6","21","0","0","3","2","0","3","0","0"
"1","6","22","0","0","3","2","0","3","0","0"
"1","6","23","0","0","3","2","0","3","0","0"
"1","7","0","0","0","3","3","0","3","0","0"
"1","7","1","0","0","3","3","0","3","0","0"
"1","7","2","0","0","4","3","0","4","0","0"
"1","7","3","0","0","4","3","0","4","0","0"
"1","7","4","0","0","4","3","0","4","0","0"
"1","7","5","0","0","4","3","0","4","0","0"
"1","7","6","0","0","3","3","0","3","0","0"
"1","7","7","0","0","3","3","0","3","0","0"
"1","7","8","0","6","3","2","5.674","0.917","10.854","0.454"
"1","7","9","0","35","3","2","33.204","1.729","63.298","51.918"
"1","7","10","7","90","4","2","95.976","4.644","180.396","166.645"
"1","7","11","699","67","4","2","521.942","16.703","911.583","877.26"
"1","7","12","24","120","4","2","145.942","7.894","270.293","254.549"
"1","7","13","329","101","4","2","328.166","11.584","588.616","564.605"
"1","7","14","671","47","3","2","402.478","13.295","695.988","668.764"
"1","7","15","484","32","2","2","224.087","7.652","375.458","357.192"
"1","7","16","0","0","2","2","0","2","0","0"
"1","7","17","0","0","1","2","0","1","0","0"
"1","7","18","0","0","1","2","0","1","0","0"
"1","7","19","0","0","1","2","0","1","0","0"
"1","7","20","0","0","1","2","0","1","0","0"
"1","7","21","0","0","1","2","0","1","0","0"
"1","7","22","0","0","1","2","0","1","0","0"
"1","7","23","0","0","0","2","0","0","0","0"
"1","8","0","0","0","0","2","0","0","0","0"
"1","8","1","0","0","0","2","0","0","0","0"
"1","8","2","0","0","0","2","0","0","0","0"
"1","8","3","0","0","0","2","0","0","0","0"
"1","8","4","0","0","0","2","0","0","0","0"
"1","8","5","0","0","0","2","0","0","0","0"
"1","8","6","0","0","0","2","0","0","0","0"
"1","8","7","0","0","0","2","0","0","0","0"
"1","8","8","214","16","0","2","85.855","0.196","141.369","128.437"
"1","8","9","173","58","1","2","147.721","3.308","267.236","251.563"
"1","8","10","687","54","1","2","446.052","11.881","784.652","754.614"
"1","8","11","16","113","2","2","125.543","5.048","235.479","220.525"
"1","8","12","180","128","2","2","262.333","7.694","482.582","461.534"
"1","8","13","285","107","2","1","300.8","10.936","541.736","519.061"
"1","8","14","668","49","1","1","404.9","13.529","700.16","672.807"
"1","8","15","489","33","1","1","228.208","8.367","381.837","363.411"
"1","8","16","0","0","0","1","0","0","0","0"
"1","8","17","0","0","0","1","0","0","0","0"
"1","8","18","0","0","0","0","0","0","0","0"
"1","8","19","0","0","0","0","0","0","0","0"
"1","8","20","0","0","0","0","0","0","0","0"
"1","8","21","0","0","0","0","0","0","0","0"
"1","8","22","0","0","-1","1","0","-1","0","0"
"1","8","23","0","0","-1","2","0","-1","0","0"
"1","9","0","0","0","-1","2","0","-1","0","0"
"1","9","1","0","0","-2","3","0","-2","0","0"
"1","9","2","0","0","-3","3","0","-3","0","0"
"1","9","3","0","0","-4","3","0","-4","0","0"
"1","9","4","0","0","-4","3","0","-4","0","0"
"1","9","5","0","0","-4","3","0","-4","0","0"
"1","9","6","0","0","-5","3","0","-5","0","0"
"1","9","7","0","0","-5","3","0","-5","0","0"
"1","9","8","0","26","-5","3","27.9","-6.296","54.996","43.775"
"1","9","9","559","43","-4","3","298.813","1.667","529.26","506.934"
"1","9","10","721","53","-3","3","463.906","7.522","831.691","800.1"
"1","9","11","445","94","-2","3","397.695","7.335","726.894","698.706"
"1","9","12","344","114","-2","3","366.977","6.392","676.496","649.871"
"1","9","13","223","113","-1","3","272.387","4.948","504.783","483.132"
"1","9","14","701","48","-1","3","422.047","8.383","746.714","717.898"
"1","9","15","530","33","-2","3","244.639","3.424","418.03","398.683"
"1","9","16","0","0","-3","3","0","-3","0","0"
"1","9","17","0","0","-4","3","0","-4","0","0"
"1","9","18","0","0","-5","3","0","-5","0","0"
"1","9","19","0","0","-5","3","0","-5","0","0"
"1","9","20","0","0","-6","3","0","-6","0","0"
"1","9","21","0","0","-6","3","0","-6","0","0"
"1","9","22","0","0","-6","3","0","-6","0","0"
"1","9","23","0","0","-7","3","0","-7","0","0"
"1","10","0","0","0","-7","3","0","-7","0","0"
"1","10","1","0","0","-7","3","0","-7","0","0"
"1","10","2","0","0","-7","3","0","-7","0","0"
"1","10","3","0","0","-7","3","0","-7","0","0"
"1","10","4","0","0","-7","3","0","-7","0","0"
"1","10","5","0","0","-7","3","0","-7","0","0"
"1","10","6","0","0","-7","3","0","-7","0","0"
"1","10","7","0","0","-7","3","0","-7","0","0"
"1","10","8","0","12","-6","3","11.366","-7.726","22.535","11.921"
"1","10","9","22","58","-5","2","72.781","-5.165","141.161","128.234"
"1","10","10","0","30","-3","2","28.431","-4.202","55.561","44.329"
"1","10","11","0","88","-2","2","86.778","-1.677","167.817","154.333"
"1","10","12","0","93","-1","2","91.845","-0.296","176.592","162.922"
"1","10","13","712","67","-1","2","520.221","11.758","926.94","892.079"
"1","10","14","614","60","-1","2","397.32","9.934","700.853","673.478"
"1","10","15","0","24","-2","2","22.748","-2.068","44.062","33.048"
"1","10","16","0","0","-2","2","0","-2","0","0"
"1","10","17","0","0","-3","2","0","-3","0","0"
"1","10","18","0","0","-3","2","0","-3","0","0"
"1","10","19","0","0","-3","2","0","-3","0","0"
"1","10","20","0","0","-3","2","0","-3","0","0"
"1","10","21","0","0","-3","2","0","-3","0","0"
"1","10","22","0","0","-3","2","0","-3","0","0"
"1","10","23","0","0","-3","2","0","-3","0","0"
"1","11","0","0","0","-3","2","0","-3","0","0"
"1","11","1","0","0","-3","2","0","-3","0","0"
"1","11","2","0","0","-3","2","0","-3","0","0"
"1","11","3","0","0","-3","2","0","-3","0","0"
"1","11","4","0","0","-3","2","0","-3","0","0"
"1","11","5","0","0","-3","2","0","-3","0","0"
"1","11","6","0","0","-3","2","0","-3","0","0"
"1","11","7","0","0","-3","2","0","-3","0","0"
"1","11","8","0","16","-3","2","15.17","-4.879","29.729","18.983"
"1","11","9","119","61","-3","2","129.112","-1.506","240.813","225.739"
"1","11","10","92","101","-2","2","168.395","1.069","317.904","301.043"
"1","11","11","115","127","-2","2","219.14","2.667","412.671","393.462"
"1","11","12","86","133","-2","2","200.969","2.345","379.815","361.44"
"1","11","13","48","117","-2","2","156.907","1.02","298.441","282.042"
"1","11","14","34","87","-2","2","112.531","-0.425","214.751","200.256"
"1","11","15","0","31","-2","2","29.409","-3.008","57.189","45.926"
"1","11","16","0","0","-2","2","0","-2","0","0"
"1","11","17","0","0","-2","2","0","-2","0","0"
"1","11","18","0","0","-2","3","0","-2","0","0"
"1","11","19","0","0","-2","3","0","-2","0","0"
"1","11","20","0","0","-2","3","0","-2","0","0"
"1","11","21","0","0","-2","3","0","-2","0","0"
"1","11","22","0","0","-2","3","0","-2","0","0"
"1","11","23","0","0","-2","4","0","-2","0","0"
"1","12","0","0","0","-2","4","0","-2","0","0"
"1","12","1","0","0","-2","4","0","-2","0","0"
"1","12","2","0","0","-1","4","0","-1","0","0"
"1","12","3","0","0","-1","4","0","-1","0","0"
"1","12","4","0","0","-1","4","0","-1","0","0"
"1","12","5","0","0","0","3","0","0","0","0"
"1","12","6","0","0","0","3","0","0","0","0"
"1","12","7","0","0","0","3","0","0","0","0"
"1","12","8","0","25","1","3","26.262","-0.296","50.494","39.359"
"1","12","9","424","54","2","3","255.395","6.544","447.12","427.016"
"1","12","10","567","73","3","3","409.912","11.98","724.062","695.963"
"1","12","11","21","118","3","3","133.917","5.601","250.494","235.202"
"1","12","12","0","50","3","3","47.445","2.645","90.096","78.197"
"1","12","13","0","56","3","3","53.16","2.54","100.993","88.878"
"1","12","14","132","91","3","2","174.382","5.944","320.037","303.126"
"1","12","15","177","50","3","2","133.029","5.231","235.32","220.369"
"1","12","16","0","0","2","2","0","2","0","0"
"1","12","17","0","0","2","2","0","2","0","0"
"1","12","18","0","0","2","2","0","2","0","0"
"1","12","19","0","0","2","2","0","2","0","0"
"1","12","20","0","0","2","2","0","2","0","0"
"1","12","21","0","0","2","2","0","2","0","0"
"1","12","22","0","0","2","2","0","2","0","0"
"1","12","23","0","0","2","2","0","2","0","0"
"1","13","0","0","0","2","2","0","2","0","0"
"1","13","1","0","0","2","3","0","2","0","0"
"1","13","2","0","0","2","3","0","2","0","0"
"1","13","3","0","0","2","3","0","2","0","0"
"1","13","4","0","0","2","3","0","2","0","0"
"1","13","5","0","0","2","2","0","2","0","0"
"1","13","6","0","0","2","2","0","2","0","0"
"1","13","7","0","0","3","1","0","3","0","0"
"1","13","8","0","7","3","1","6.621","0.408","12.692","2.259"
"1","13","9","0","35","4","1","33.199","2.389","63.112","51.737"
"1","13","10","0","25","4","1","23.684","2.22","45.056","34.023"
"1","13","11","0","40","5","1","37.934","3.674","71.719","60.178"
"1","13","12","0","13","5","1","12.31","2.873","23.353","12.724"
"1","13","13","50","120","5","1","161.565","7.872","298.432","282.033"
"1","13","14","0","29","5","1","27.481","4.141","51.854","40.692"
"1","13","15","0","38","5","1","37.084","3.67","70.113","58.603"
"1","13","16","0","0","4","1","0","4","0","0"
"1","13","17","0","0","4","1","0","4","0","0"
"1","13","18","0","0","4","1","0","4","0","0"
"1","13","19","0","0","4","1","0","4","0","0"
"1","13","20","0","0","4","1","0","4","0","0"
"1","13","21","0","0","4","1","0","4","0","0"
"1","13","22","0","0","4","1","0","4","0","0"
"1","13","23","0","0","4","1","0","4","0","0"
"1","14","0","0","0","4","1","0","4","0","0"
"1","14","1","0","0","4","1","0","4","0","0"
"1","14","2","0","0","4","1","0","4","0","0"
"1","14","3","0","0","4","1","0","4","0","0"
"1","14","4","0","0","3","1","0","3","0","0"
"1","14","5","0","0","3","2","0","3","0","0"
"1","14","6","0","0","3","2","0","3","0","0"
"1","14","7","0","0","4","2","0","4","0","0"
"1","14","8","0","1","4","2","0.944","1.797","1.8","0"
"1","14","9","0","7","4","2","6.62","1.963","12.607","2.175"
"1","14","10","0","39","4","2","36.984","2.854","70.168","58.657"
"1","14","11","0","29","5","2","27.484","3.712","51.954","40.791"
"1","14","12","0","15","6","2","14.205","4.312","26.784","16.092"
"1","14","13","679","69","6","2","509.947","18.056","885.041","851.639"
"1","14","14","100","94","6","1","161.922","11.679","291.016","274.791"
"1","14","15","0","45","5","1","45.3","4.766","85.246","73.442"
"1","14","16","0","0","5","1","0","5","0","0"
"1","14","17","0","0","5","1","0","5","0","0"
"1","14","18","0","0","5","1","0","5","0","0"
"1","14","19","0","0","5","1","0","5","0","0"
"1","14","20","0","0","5","1","0","5","0","0"
"1","14","21","0","0","5","1","0","5","0","0"
"1","14","22","0","0","5","1","0","5","0","0"
"1","14","23","0","0","5","1","0","5","0","0"
"1","15","0","0","0","5","1","0","5","0","0"
"1","15","1","0","0","5","1","0","5","0","0"
"1","15","2","0","0","4","1","0","4","0","0"
"1","15","3","0","0","4","1","0","4","0","0"
"1","15","4","0","0","4","1","0","4","0","0"
