"PVWatts: Por hora Datos de rendimiento FV"
"Ubicación solicitada:","victoria canada"
"Ubicación:","Lat., long.: 46.21, -63.5"
"Lat. (° N):","46.21"
"Long. (° O):","63.5"
"Altitud (m):","0"
"Tamaño del sistema en CC (kW):","4"
"Tipo de módulo:","Estándar"
"Tipo de campo:","Fijo (bastidor abierto)"
"Inclinación del campo (grados):","20"
"Acimut del campo (grados):","180"
"Pérdidas del sistema:","14.08"
"Eficiencia del inversor:","96"
"Relación de tamaño de CC a CA:","1.2"
"Costo promedio de la electricidad comprada a la empresa de servicio público ($/kWh):","No hay datos disponibles de servicio público"
"Factor de Capacidad (%)","13.2"	

"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","4","23","0","0","-2","3","0","-2","0","0"
"1","5","0","0","0","-2","2","0","-2","0","0"
"1","5","1","0","0","-2","2","0","-2","0","0"
"1","5","2","0","0","-3","2","0","-3","0","0"
"1","5","3","0","0","-3","2","0","-3","0","0"
"1","5","4","0","0","-3","1","0","-3","0","0"
"1","5","5","0","0","-3","1","0","-3","0","0"
"1","5","6","0","0","-3","1","0","-3","0","0"
"1","5","7","0","0","-3","2","0","-3","0","0"
"1","5","8","0","9","-2","1","8.515","-4.613","33.339","12.327"
"1","5","9","0","37","-2","2","35.094","-3.257","136.628","113.676"
"1","5","10","0","97","-3","4","97.511","-2.461","378.378","350.5"
"1","5","11","158","145","-4","5","269.497","-0.017","1027.093","983.31"
"1","5","12","395","126","-4","5","424.903","3.333","1591.363","1530.565"
"1","5","13","339","121","-5","5","368.547","1.483","1387.486","1333.178"
"1","5","14","192","105","-6","5","232.14","-2.301","882.546","842.646"
"1","5","15","127","61","-6","5","129.313","-4.561","485.66","455.422"
"1","5","16","0","8","-7","5","7.57","-8.141","30.071","9.118"
"1","5","17","0","0","-7","4","0","-7","0","0"
"1","5","18","0","0","-7","4","0","-7","0","0"
"1","5","19","0","0","-7","4","0","-7","0","0"
"1","5","20","0","0","-8","4","0","-8","0","0"
"1","5","21","0","0","-8","4","0","-8","0","0"
"1","5","22","0","0","-8","3","0","-8","0","0"
"1","5","23","0","0","-8","3","0","-8","0","0"
"1","6","0","0","0","-9","3","0","-9","0","0"
"1","6","1","0","0","-9","3","0","-9","0","0"
"1","6","2","0","0","-10","3","0","-10","0","0"
"1","6","3","0","0","-11","3","0","-11","0","0"
"1","6","4","0","0","-11","2","0","-11","0","0"
"1","6","5","0","0","-11","2","0","-11","0","0"
"1","6","6","0","0","-11","2","0","-11","0","0"
"1","6","7","0","0","-10","2","0","-10","0","0"
"1","6","8","52","25","-9","2","45.105","-10.003","168.925","145.347"
"1","6","9","0","34","-8","3","32.239","-9.059","128.534","105.739"
"1","6","10","242","112","-7","3","275.393","-1.884","1047.602","1003.253"
"1","6","11","208","142","-6","2","307.255","1.625","1161.576","1114.007"
"1","6","12","6","130","-6","2","135.556","-3.151","527.246","496.064"
"1","6","13","76","137","-5","2","197.407","-1.057","757.25","720.558"
"1","6","14","96","109","-5","1","178.751","-0.401","679.015","644.252"
"1","6","15","56","60","-5","1","94.133","-3.456","357.857","330.418"
"1","6","16","0","7","-5","1","6.622","-7.116","26.194","5.312"
"1","6","17","0","0","-5","0","0","-5","0","0"
"1","6","18","0","0","-5","0","0","-5","0","0"
"1","6","19","0","0","-5","0","0","-5","0","0"
"1","6","20","0","0","-5","1","0","-5","0","0"
"1","6","21","0","0","-5","2","0","-5","0","0"
"1","6","22","0","0","-5","3","0","-5","0","0"
"1","6","23","0","0","-5","3","0","-5","0","0"
"1","7","0","0","0","-5","3","0","-5","0","0"
