"PVWatts: Por hora Datos de rendimiento FV"
"Ubicación solicitada:","vancouver"
"Ubicación:","Lat., long.: 49.25, -123.14"
"Lat. (° N):","49.25"
"Long. (° O):","123.14"
"Altitud (m):","39.360000610352"
"Tamaño del sistema en CC (kW):","26"
"Tipo de módulo:","Estándar"
"Tipo de campo:","Fijo (bastidor abierto)"
"Inclinación del campo (grados):","20"
"Acimut del campo (grados):","180"
"Pérdidas del sistema:","14.08"
"Eficiencia del inversor:","96"
"Relación de tamaño de CC a CA:","1.2"
"Costo promedio de la electricidad comprada a la empresa de servicio público ($/kWh):","No hay datos disponibles de servicio público"
"Factor de Capacidad (%)","12.1"	

"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","5","0","0","0","0","2","0","0","0","0"
"1","5","1","0","0","0","2","0","0","0","0"
"1","5","2","0","0","0","2","0","0","0","0"
"1","5","3","0","0","0","2","0","0","0","0"
"1","5","4","0","0","0","3","0","0","0","0"
"1","5","5","0","0","0","3","0","0","0","0"
"1","5","6","0","0","0","3","0","0","0","0"
"1","5","7","0","0","0","3","0","0","0","0"
"1","5","8","0","0","0","3","0","0","0","0"
"1","5","9","0","3","1","3","2.836","-0.89","71.052","0"
"1","5","10","0","50","1","3","47.457","0.25","1183.474","1028.54"
"1","5","11","0","21","1","3","19.891","-0.319","497.232","355.464"
"1","5","12","0","31","1","3","29.383","-0.159","733.998","587.763"
"1","5","13","0","34","2","3","32.231","0.95","801.396","653.875"
"1","5","14","0","25","2","3","23.684","0.742","589.395","445.898"
"1","5","15","0","3","2","2","2.835","-0.087","70.797","0"
"1","5","16","0","0","2","2","0","2","0","0"
"1","5","17","0","0","2","2","0","2","0","0"
"1","5","18","0","0","2","2","0","2","0","0"
"1","5","19","0","0","2","2","0","2","0","0"
"1","5","20","0","0","2","2","0","2","0","0"
"1","5","21","0","0","3","2","0","3","0","0"
"1","5","22","0","0","3","2","0","3","0","0"
"1","5","23","0","0","2","2","0","2","0","0"
"1","6","0","0","0","2","2","0","2","0","0"
"1","6","1","0","0","2","2","0","2","0","0"
"1","6","2","0","0","2","2","0","2","0","0"
"1","6","3","0","0","2","2","0","2","0","0"
"1","6","4","0","0","2","2","0","2","0","0"
"1","6","5","0","0","2","2","0","2","0","0"
"1","6","6","0","0","2","2","0","2","0","0"
"1","6","7","0","0","2","2","0","2","0","0"
"1","6","8","0","1","2","2","0.944","-0.233","23.598","0"
"1","6","9","0","7","2","2","6.619","-0.067","165.294","29.653"
"1","6","10","0","42","3","2","39.839","1.923","986.509","835.422"
"1","6","11","0","75","3","2","72.771","2.997","1793.754","1626.544"
"1","6","12","0","18","3","2","17.048","1.525","422.848","282.467"
"1","6","13","0","11","3","2","10.412","1.119","258.698","121.349"
"1","6","14","0","15","3","2","14.198","1.202","352.649","213.569"
"1","6","15","0","3","3","2","2.835","0.89","70.507","0"
"1","6","16","0","0","3","2","0","3","0","0"
"1","6","17","0","0","3","2","0","3","0","0"
"1","6","18","0","0","3","2","0","3","0","0"
"1","6","19","0","0","3","2","0","3","0","0"
"1","6","20","0","0","3","2","0","3","0","0"
"1","6","21","0","0","3","2","0","3","0","0"
"1","6","22","0","0","3","2","0","3","0","0"
"1","6","23","0","0","3","2","0","3","0","0"
"1","7","0","0","0","3","3","0","3","0","0"
"1","7","1","0","0","3","3","0","3","0","0"
"1","7","2","0","0","4","3","0","4","0","0"
"1","7","3","0","0","4","3","0","4","0","0"
"1","7","4","0","0","4","3","0","4","0","0"
"1","7","5","0","0","4","3","0","4","0","0"
"1","7","6","0","0","3","3","0","3","0","0"
"1","7","7","0","0","3","3","0","3","0","0"
"1","7","8","0","6","3","2","5.674","0.917","141.097","5.897"
"1","7","9","0","35","3","2","33.204","1.729","822.87","674.938"
"1","7","10","7","90","4","2","95.976","4.644","2345.146","2166.388"
"1","7","11","699","67","4","2","521.942","16.703","11850.575","11404.38"
"1","7","12","24","120","4","2","145.942","7.894","3513.804","3309.132"
"1","7","13","329","101","4","2","328.166","11.584","7652.005","7339.869"
"1","7","14","671","47","3","2","402.478","13.295","9047.846","8693.938"
"1","7","15","484","32","2","2","224.087","7.652","4880.958","4643.491"
"1","7","16","0","0","2","2","0","2","0","0"
"1","7","17","0","0","1","2","0","1","0","0"
"1","7","18","0","0","1","2","0","1","0","0"
"1","7","19","0","0","1","2","0","1","0","0"
"1","7","20","0","0","1","2","0","1","0","0"
"1","7","21","0","0","1","2","0","1","0","0"
"1","7","22","0","0","1","2","0","1","0","0"
"1","7","23","0","0","0","2","0","0","0","0"
"1","8","0","0","0","0","2","0","0","0","0"
"1","8","1","0","0","0","2","0","0","0","0"
"1","8","2","0","0","0","2","0","0","0","0"
"1","8","3","0","0","0","2","0","0","0","0"
"1","8","4","0","0","0","2","0","0","0","0"
"1","8","5","0","0","0","2","0","0","0","0"
"1","8","6","0","0","0","2","0","0","0","0"
"1","8","7","0","0","0","2","0","0","0","0"
"1","8","8","214","16","0","2","85.855","0.196","1837.797","1669.681"
"1","8","9","173","58","1","2","147.721","3.308","3474.074","3270.315"
"1","8","10","687","54","1","2","446.052","11.881","10200.482","9809.98"
"1","8","11","16","113","2","2","125.543","5.048","3061.224","2866.819"
"1","8","12","180","128","2","2","262.333","7.694","6273.564","5999.945"
"1","8","13","285","107","2","1","300.8","10.936","7042.568","6747.796"
"1","8","14","668","49","1","1","404.9","13.529","9102.075","8746.488"
"1","8","15","489","33","1","1","228.208","8.367","4963.881","4724.339"
"1","8","16","0","0","0","1","0","0","0","0"
"1","8","17","0","0","0","1","0","0","0","0"
"1","8","18","0","0","0","0","0","0","0","0"
"1","8","19","0","0","0","0","0","0","0","0"
"1","8","20","0","0","0","0","0","0","0","0"
"1","8","21","0","0","0","0","0","0","0","0"
"1","8","22","0","0","-1","1","0","-1","0","0"
"1","8","23","0","0","-1","2","0","-1","0","0"
"1","9","0","0","0","-1","2","0","-1","0","0"
"1","9","1","0","0","-2","3","0","-2","0","0"
"1","9","2","0","0","-3","3","0","-3","0","0"
"1","9","3","0","0","-4","3","0","-4","0","0"
"1","9","4","0","0","-4","3","0","-4","0","0"
"1","9","5","0","0","-4","3","0","-4","0","0"
"1","9","6","0","0","-5","3","0","-5","0","0"
"1","9","7","0","0","-5","3","0","-5","0","0"
"1","9","8","0","26","-5","3","27.9","-6.296","714.948","569.076"
"1","9","9","559","43","-4","3","298.813","1.667","6880.38","6590.14"
"1","9","10","721","53","-3","3","463.906","7.522","10811.986","10401.3"
"1","9","11","445","94","-2","3","397.695","7.335","9449.618","9083.171"
"1","9","12","344","114","-2","3","366.977","6.392","8794.446","8448.329"
"1","9","13","223","113","-1","3","272.387","4.948","6562.174","6280.715"
"1","9","14","701","48","-1","3","422.047","8.383","9707.284","9332.674"
"1","9","15","530","33","-2","3","244.639","3.424","5434.387","5182.885"
"1","9","16","0","0","-3","3","0","-3","0","0"
"1","9","17","0","0","-4","3","0","-4","0","0"
"1","9","18","0","0","-5","3","0","-5","0","0"
"1","9","19","0","0","-5","3","0","-5","0","0"
"1","9","20","0","0","-6","3","0","-6","0","0"
"1","9","21","0","0","-6","3","0","-6","0","0"
"1","9","22","0","0","-6","3","0","-6","0","0"
"1","9","23","0","0","-7","3","0","-7","0","0"
"1","10","0","0","0","-7","3","0","-7","0","0"
"1","10","1","0","0","-7","3","0","-7","0","0"
"1","10","2","0","0","-7","3","0","-7","0","0"
"1","10","3","0","0","-7","3","0","-7","0","0"
"1","10","4","0","0","-7","3","0","-7","0","0"
"1","10","5","0","0","-7","3","0","-7","0","0"
"1","10","6","0","0","-7","3","0","-7","0","0"
"1","10","7","0","0","-7","3","0","-7","0","0"
"1","10","8","0","12","-6","3","11.366","-7.726","292.957","154.978"
"1","10","9","22","58","-5","2","72.781","-5.165","1835.1","1667.039"
"1","10","10","0","30","-3","2","28.431","-4.202","722.293","576.282"
"1","10","11","0","88","-2","2","86.778","-1.677","2181.615","2006.327"
"1","10","12","0","93","-1","2","91.845","-0.296","2295.691","2117.987"
"1","10","13","712","67","-1","2","520.221","11.758","12050.222","11597.024"
"1","10","14","614","60","-1","2","397.32","9.934","9111.085","8755.219"
"1","10","15","0","24","-2","2","22.748","-2.068","572.811","429.626"
"1","10","16","0","0","-2","2","0","-2","0","0"
"1","10","17","0","0","-3","2","0","-3","0","0"
"1","10","18","0","0","-3","2","0","-3","0","0"
"1","10","19","0","0","-3","2","0","-3","0","0"
"1","10","20","0","0","-3","2","0","-3","0","0"
"1","10","21","0","0","-3","2","0","-3","0","0"
"1","10","22","0","0","-3","2","0","-3","0","0"
"1","10","23","0","0","-3","2","0","-3","0","0"
"1","11","0","0","0","-3","2","0","-3","0","0"
"1","11","1","0","0","-3","2","0","-3","0","0"
"1","11","2","0","0","-3","2","0","-3","0","0"
"1","11","3","0","0","-3","2","0","-3","0","0"
"1","11","4","0","0","-3","2","0","-3","0","0"
"1","11","5","0","0","-3","2","0","-3","0","0"
"1","11","6","0","0","-3","2","0","-3","0","0"
"1","11","7","0","0","-3","2","0","-3","0","0"
"1","11","8","0","16","-3","2","15.17","-4.879","386.481","246.775"
"1","11","9","119","61","-3","2","129.112","-1.506","3130.565","2934.606"
"1","11","10","92","101","-2","2","168.395","1.069","4132.753","3913.565"
"1","11","11","115","127","-2","2","219.14","2.667","5364.721","5115.01"
"1","11","12","86","133","-2","2","200.969","2.345","4937.598","4698.715"
"1","11","13","48","117","-2","2","156.907","1.02","3879.731","3666.544"
"1","11","14","34","87","-2","2","112.531","-0.425","2791.764","2603.333"
"1","11","15","0","31","-2","2","29.409","-3.008","743.456","597.042"
"1","11","16","0","0","-2","2","0","-2","0","0"
"1","11","17","0","0","-2","2","0","-2","0","0"
"1","11","18","0","0","-2","3","0","-2","0","0"
"1","11","19","0","0","-2","3","0","-2","0","0"
"1","11","20","0","0","-2","3","0","-2","0","0"
"1","11","21","0","0","-2","3","0","-2","0","0"
"1","11","22","0","0","-2","3","0","-2","0","0"
"1","11","23","0","0","-2","4","0","-2","0","0"
"1","12","0","0","0","-2","4","0","-2","0","0"
"1","12","1","0","0","-2","4","0","-2","0","0"
"1","12","2","0","0","-1","4","0","-1","0","0"
"1","12","3","0","0","-1","4","0","-1","0","0"
"1","12","4","0","0","-1","4","0","-1","0","0"
"1","12","5","0","0","0","3","0","0","0","0"
"1","12","6","0","0","0","3","0","0","0","0"
"1","12","7","0","0","0","3","0","0","0","0"
"1","12","8","0","25","1","3","26.262","-0.296","656.428","511.665"
"1","12","9","424","54","2","3","255.395","6.544","5812.557","5551.212"
"1","12","10","567","73","3","3","409.912","11.98","9412.807","9047.519"
"1","12","11","21","118","3","3","133.917","5.601","3256.42","3057.623"
"1","12","12","0","50","3","3","47.445","2.645","1171.25","1016.556"
"1","12","13","0","56","3","3","53.16","2.54","1312.911","1155.418"
"1","12","14","132","91","3","2","174.382","5.944","4160.487","3940.636"
"1","12","15","177","50","3","2","133.029","5.231","3059.157","2864.798"
"1","12","16","0","0","2","2","0","2","0","0"
"1","12","17","0","0","2","2","0","2","0","0"
